,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
138,J,6287,0,34.0,11.85666666666667,0.0,0.0,37.725877,-122.442359,0.0,137.42333333333335,137.42333333333335,29.25,12.773333333333333,12.773333333333333,J-CHURCH,S.Jose&S.Ynez,31,94,San Jose Ave & Santa Ynez Ave
132,J,6274,0,35.0,11.858376068376069,0.0,0.0,37.723085,-122.444699,0.0,126.95666666666666,126.95666666666666,27.026999999999987,12.773333333333333,12.773333333333333,J-CHURCH,S.Jose&Ocean,3,172,San Jose Ave & Ocean Ave
120,J,5448,0,37.0,11.860398860398861,1.0,0.0,37.720899,-122.446657,0.0,165.9466666666667,165.9466666666667,21.645,7.830000000000001,7.830000000000001,J-CHURCH,Green Div Yard,0,412,SAN JOSE AVE & GENEVA AVE
121,J,5448,1,25.0,16.438388705768386,0.0,1.0,37.720899,-122.446657,0.0,0.0,0.0,0.0,0.0,0.0,J-CHURCH,GreenDivYard,648,0,SAN JOSE AVE & GENEVA AVE
133,J,6275,1,26.0,16.481039084009677,0.0,0.0,37.722862,-122.44479,0.0,92.25,92.25,20.286666666666665,13.193333333333333,13.193333333333333,J-CHURCH,S.Jose&Ocean,207,21,San Jose Ave & Ocean Ave
139,J,6288,1,27.0,16.48246799660035,0.0,0.0,37.725681,-122.44244199999999,0.0,123.43333333333332,123.43333333333332,27.804666666666673,13.516666666666666,13.516666666666666,J-CHURCH,S.Jose&S.Ynez,124,77,San Jose Ave & Santa Ynez Ave
136,J,6284,1,28.0,16.48448351049821,0.0,0.0,37.728991,-122.43992199999998,0.0,141.8233333333333,141.8233333333333,31.862000000000005,13.483333333333334,13.483333333333334,J-CHURCH,S.Jose&S.Rosa,162,64,San Jose Ave & Santa Rosa Ave
116,J,4787,1,29.0,16.48770303335009,0.0,0.0,37.732525,-122.43341600000001,0.0,236.3333333333333,236.3333333333333,51.55200000000002,13.086666666666666,13.086666666666666,J-CHURCH,Glen Park Sta,83,54,San Jose Ave/Glen Park Station
134,J,6277,1,30.0,16.492931445868948,0.0,0.0,37.739741,-122.424157,0.0,387.6866666666668,387.6866666666668,84.7266666666667,13.113333333333335,13.113333333333335,J-CHURCH,S.Jose&Randall,132,62,San Jose Ave & Randall St
99,J,3537,1,31.0,16.494541207294883,0.0,0.0,37.742304,-122.42402599999998,0.0,118.16666666666664,118.16666666666664,21.122000000000003,10.726666666666667,10.726666666666667,J-CHURCH,30th&Dolores,132,58,30th St & Dolores St
110,J,4000,1,32.0,16.183945889045667,0.0,0.0,37.742222,-122.42645899999998,0.0,84.40666666666667,84.40666666666667,16.484666666666673,11.719999999999999,11.719999999999999,J-CHURCH,Church&30th,297,82,Church St & 30th St
109,J,3999,1,33.0,16.22525075934167,0.0,0.0,37.743587,-122.426585,0.0,80.93000000000002,80.93000000000002,11.405333333333333,8.453333333333333,8.453333333333333,J-CHURCH,Church&29,303,25,Church St & 29th St
108,J,3998,1,34.0,16.22813541815032,0.0,0.0,37.746781,-122.426893,0.0,190.9233333333333,190.9233333333333,26.814666666666668,8.423333333333334,8.423333333333334,J-CHURCH,Church&27th,310,35,Church St & 27th St
113,J,4003,1,35.0,16.23019588872793,0.0,0.0,37.749182,-122.427122,0.0,143.13666666666666,143.13666666666666,20.14133333333333,8.443333333333333,8.443333333333333,J-CHURCH,Church&Clipper,177,29,Church St & Clipper St
106,J,3996,1,36.0,16.192165558019212,0.0,0.0,37.751591,-122.42735,0.0,150.53666666666666,150.53666666666666,20.478666666666665,8.16,8.16,J-CHURCH,Church&24th,655,166,Church St & 24th St
