,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP NAME,SEQ,Stop Latitude, Total Alightings ,Stop Longitude, Total Boardings ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,geometry
317,4515,E,1,,12,,,,,16.94595699,0,0,37.803263,-122.401113,0,51.07,51.07,5.208,6.12,6.12,POINT (-122.401113 37.803263)
334,7281,E,1,,13,,,,,16.95070968,0,0,37.805146,-122.403233,0,53.14,53.14,5.394,6.09,6.09,POINT (-122.403233 37.805146)
311,4501,E,1,,14,,,,,16.95688172,0,0,37.806945,-122.406278,0,63.3,63.3,6.448,6.11,6.11,POINT (-122.406278 37.806945)
322,4530,E,1,,15,,,,,16.88051471,0,0,37.808351,-122.410287,0,111.11,111.11,11.286,6.09,6.09,POINT (-122.410287 37.808351)
310,3095,E,1,,16,,,,,16,1,0,37.807841,-122.41081,0,12,12,0.135,0.68,0.68,POINT (-122.41081 37.807841)
325,5174,E,1,,17,,,,,16.96172043,0,0,37.808594,-122.413357,0,56.52,56.52,5.239,5.56,5.56,POINT (-122.413357 37.808594)
326,5175,E,1,,18,,,,,16.96068817,0,0,37.80832,-122.415514,0,39.76,39.76,3.72,5.61,5.61,POINT (-122.415514 37.80832)
328,5184,E,1,,19,,,,,16.96344086,1,0,37.807132,-122.417324,0,58.74,58.74,3.999,4.08,4.08,POINT (-122.417324 37.807132)
362,5184,F,0,,12,,,,,7.720081136,0,1,37.807132,-122.417324,0,0,0,0,0,0,POINT (-122.417324 37.807132)
341,3092,F,0,,13,,,,,7.72334911,0,0,37.807407,-122.414125,0,253.5,253.5,26.928,6.37,6.37,POINT (-122.414125 37.807407)
342,3095,F,0,,14,,,,,7.726617084,0,0,37.807841,-122.41081,0,253.5,253.5,28.152,6.66,6.66,POINT (-122.41081 37.807841)
346,4502,F,0,,15,,,,,7.72242957,0,0,37.806629,-122.40603,0,349.28,349.28,42.075,7.23,7.23,POINT (-122.40603 37.806629)
354,4529,F,0,,16,,,,,7.71965968,0,0,37.805022,-122.403314,0,223.42,223.42,28.305,7.6,7.6,POINT (-122.403314 37.805022)
351,4516,F,0,,17,,,,,7.717151228,0,0,37.80296,-122.401029,0,228.56,228.56,28.917,7.59,7.59,POINT (-122.401029 37.80296)
353,4518,F,0,,18,,,,,7.714180753,0,0,37.800605,-122.39892,0,239.13,239.13,30.447,7.64,7.64,POINT (-122.39892 37.800605)
348,4504,F,0,,19,,,,,7.712152355,0,0,37.798901,-122.397434,0,170.14,170.14,21.879,7.72,7.72,POINT (-122.397434 37.798901)
357,4534,F,0,,20,,,,,7.709109759,0,0,37.796355,-122.395181,0,256.74,256.74,32.895,7.69,7.69,POINT (-122.395181 37.796355)
399,7283,F,0,,21,,,,,7.707216588,0,0,37.794828,-122.39377,0,156.77,156.77,20.043,7.67,7.67,POINT (-122.39377 37.794828)
358,4726,F,0,,22,,,,,7.340711549,0,1,37.794052,-122.393449,0,106.8,106.8,8.568,4.81,4.81,POINT (-122.393449 37.794052)
379,5669,F,0,,23,,,,,7.342560664,0,0,37.793473,-122.396178,0,404.42,404.42,26.97,4,4,POINT (-122.396178 37.793473)
374,5657,F,0,,24,,,,,7.336526181,0,0,37.79111,-122.399069,0,443.58,443.58,39.498,5.34,5.34,POINT (-122.399069 37.79111)
364,5639,F,0,,25,,,,,7.336526181,0,0,37.789353,-122.401306,0,239.25,239.25,29.928,7.51,7.51,POINT (-122.401306 37.789353)
384,5678,F,0,,26,,,,,7.336526181,0,0,37.78773,-122.40337,0,220.27,220.27,27.666,7.54,7.54,POINT (-122.40337 37.78773)
394,5694,F,0,,27,,,,,7.336526181,0,0,37.785777,-122.405859,0,257.66,257.66,33.408,7.78,7.78,POINT (-122.405859 37.785777)
372,5655,F,0,,28,,,,,7.33462963,0,0,37.784082,-122.407992,0,270.62,270.62,28.71,6.37,6.37,POINT (-122.407992 37.784082)
395,5695,F,0,,29,,,,,7.332675607,0,0,37.782316,-122.410228,0,270.62,270.62,30.102,6.67,6.67,POINT (-122.410228 37.782316)
373,5656,F,0,,30,,,,,7.330779055,0,0,37.780568,-122.412441,0,270.62,270.62,29.754,6.6,6.6,POINT (-122.412441 37.780568)
383,5676,F,0,,31,,,,,7.32916986,0,0,37.779105,-122.414379,0,220.3,220.3,25.404,6.92,6.92,POINT (-122.414379 37.779105)
