,ROUTE_SHORT_NAME,DIR,LOG_RIDERS_09,EDD_EMP_LOG_09,STOP_ID,AVG_RIDE_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,MUNI_BUS_AVG_09,AVG_BART_LOG_09,CLOSE_STOP_09,J_09,LOG_RIDERS_16,EDD_EMP_LOG_16,AVG_RIDE_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,MUNI_BUS_AVG_16,AVG_BART_LOG_16,CLOSE_STOP_16,J_16
0,J,1,4.564348191467836,7.089243155027513,3537,95.0,1.5341898912723515,0.0,7.804466294841664,6150.24466050023,0.0,1,1,5.171619713502079,7.501082124259871,175.20000000000005,1.5374753925332136,0.0,7.810160553813927,5998.432593477329,0.0,1,1
1,J,0,4.7535901911063645,7.0825485693553,3538,115.0,1.802634309640394,0.0,7.788445226317595,5819.619249845507,0.0,1,1,4.617098756853365,7.442492722794441,100.20000000000002,1.8440410819002124,0.0,7.794231409673317,6027.654484533003,0.0,1,1
2,J,0,5.556828061699537,8.0323601479245,3984,258.0,1.7950950317975247,0.0,8.188915327779288,2719.199379768098,0.0,1,1,5.838021949864403,8.369157112588834,342.1,1.8456462617540397,0.0,8.237437308516744,2223.5862269957197,0.0,1,1
3,J,1,5.391352232515227,8.000014093678073,3985,218.5,1.5464591100431464,0.0,8.181901347478329,2817.8258265111326,0.0,1,1,5.766444235780913,8.393894975071744,318.4000000000001,1.5370990568417926,0.0,8.22515802850489,2312.494071340157,0.0,1,1
4,J,0,5.749392985908253,7.532623618788787,3987,313.0,1.795164511331969,0.0,7.961076797592306,1070.9901546591589,0.0,1,1,6.0622724371184935,8.049107721326406,428.35,1.8455260007890502,0.0,7.968208931733239,1027.1777225750184,0.0,1,1
5,J,1,4.836281906951479,6.741700694652054,3994,125.0,1.5467072869046146,0.0,7.898282928807133,382.4469798187132,0.0,1,1,5.305044687297463,7.4815557019095165,200.35,1.537323140460136,0.0,7.901599501115867,296.2645848564887,0.0,1,1
6,J,0,6.229496710915942,6.959398512133975,3995,506.5,1.7954063253734187,0.0,7.959845635016492,644.1872240593116,0.0,1,1,6.209897018692073,7.574045005372199,496.6499999999999,1.8451586599110887,0.0,7.962580311695137,532.7415785265813,0.0,1,1
7,J,1,6.019809020117124,6.926577033222724,3996,410.5,1.5487311254748115,0.0,7.96690978824714,574.280654677508,0.0,1,1,6.098748212327656,7.583247524303363,444.29999999999984,1.5373950328020498,0.0,7.969555946961488,467.8825676646468,0.0,1,1
8,J,0,5.2574953720277815,6.548219102762372,3997,191.0,1.7954063253734187,0.0,7.890726535592258,50.158811375169115,0.0,1,1,5.216022123821206,7.613818684808629,183.2,1.8446280131568644,0.0,7.895548268273003,53.50865415768921,0.0,1,1
9,J,1,5.156177599386914,6.53524127101366,3998,172.5,1.5469841357213654,0.0,7.892310502130644,18.97509070621589,0.0,1,1,5.448460024977757,7.650168700845001,231.40000000000006,1.5373823453369435,0.0,7.897395944136906,19.23883818418689,0.0,1,1
10,J,1,5.105945473900579,6.966024187106112,3999,164.0,1.5471240650026732,0.0,7.832806895511313,443.73802177624987,0.0,1,1,5.260096153727839,7.400620577371135,191.5,1.5373865744642996,0.0,7.840985588452399,426.2221398979499,0.0,1,1
11,J,1,5.249652194566756,6.9735430195201396,4000,189.5,1.5491310002495629,0.0,7.774087638212961,4105.674632562022,0.0,1,1,5.2793893566625165,7.358193752733032,195.25,1.5373950328020498,0.0,7.781259263923108,5874.990514856658,0.0,1,1
12,J,0,4.7318028369214575,6.843749949006225,4002,112.5,1.7954063253734187,0.0,7.941995249203563,440.2538671740108,0.0,1,1,5.019595035467728,7.389563953677635,150.35000000000005,1.8448882820377248,0.0,7.945623058405089,345.73581071525183,0.0,1,1
13,J,1,4.6443908991413725,6.8134445995108965,4003,103.0,1.546884204703961,0.0,7.942373264740324,425.88446026161614,0.0,1,1,5.128121989551922,7.37650812632622,167.70000000000005,1.537382345336943,0.0,7.946463613603556,342.53754287992297,0.0,1,1
14,J,0,5.9776191402859284,6.956545443151568,4004,393.5,1.7954063253734187,0.0,7.8001005015803715,1896.3119044074133,0.0,1,1,5.635325174011292,7.375255778009754,279.15,1.8441577634394224,0.0,7.808535188111858,2159.9056257287616,0.0,1,1
15,J,1,6.243195555274104,7.722234744709607,4006,513.5,1.5463495006725525,0.3333333333333333,8.232645772692338,4634.819080155143,0.0,1,1,6.278990357351461,8.435549202375729,532.2500000000001,1.5369722514955635,1.0,8.317794690301707,3196.063245043263,0.0,1,1
16,J,1,4.241326752570746,7.237059026124737,4787,68.5,1.5345151509013837,0.0,7.235128189131154,3208.840437337788,8.637462023807181,0,1,4.74449725120919,7.232010331664759,113.95,1.5378912476071815,0.0,7.233484436879821,2886.7757482280626,8.636752426473876,0,1
17,J,0,4.418840607796597,7.336936913707618,4788,82.0,1.8021222562636012,0.0,7.224898236109209,2845.4050408854896,8.637462023807181,0,1,4.566948973167893,7.241366283322318,95.25,1.8433180741584032,0.0,7.222464890355482,2728.750347793325,8.636752426473876,0,1
18,J,1,6.557488331338736,10.425757440186377,5417,703.5,1.8811874126401964,0.0,8.376506360548477,25941.25749781112,8.460305329209191,1,1,6.6343705112311815,10.806713308080845,759.8000000000002,1.8463515560135948,0.0,8.418080085440991,25262.162192479365,8.755264763314685,1,1
