,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
247,L,5417,1,57,10.06315997,0,0,37.784199,-122.407695,0,255.2366667,255.2366667,64.83433333,15.24,15.24,L-TARAVAL,Powell Sta,437,"2,672",Metro Powell Station/Downtown
253,L,5731,1,58,10.06158711,0,0,37.788702,-122.401925,0,205.46,205.46,52.12633333,15.22,15.22,L-TARAVAL,MontgomerySta,129,"2,869",Metro Montgomery Station/Downtown
288,L,6992,1,59,10.05992923,1,0,37.793143,-122.396396,0,200.7066667,200.7066667,50.71433333,15.16,15.16,L-TARAVAL,EmbarcaderoSta,0,"2,861",Metro Embarcadero Station
448,L,6736,1,,,,,,,,,,,,,L-TARAVAL,Ulloa&ForstSide,30,31,Ulloa St & Forest Side Ave
461,L,6614,1,,,,,,,,,,,,,L-TARAVAL,Taraval&17th,493,138,Taraval St & 17th Ave
462,L,6640,1,,,,,,,,,,,,,L-TARAVAL,Taraval&Sunset,593,76,Taraval St & Sunset Blvd
352,M,7217,0,27,10.89929511,0,1,37.793152,-122.396431,0,0,0,0,0,0,M-OCEAN VIEW,Embarc Sta,"1,918",0,Metro Embarcadero Station
339,M,6994,0,28,10.90001566,0,0,37.788791,-122.402127,0,163.3,163.3,46.47533333,17.07666667,17.07666667,M-OCEAN VIEW,Montgomery Sta,"1,402",73,Metro Montgomery Station/Outbound
340,M,6995,0,29,10.90073622,0,0,37.7843,-122.407822,0,168.6666667,168.6666667,47.11933333,16.76333333,16.76333333,M-OCEAN VIEW,Powell Sta,"2,572",245,Metro Powell Station/Outbound
342,M,6997,0,30,10.90165852,0,0,37.778675,-122.414995,0,211.6,211.6,59.248,16.80333333,16.80333333,M-OCEAN VIEW,Civic Center Sta,"1,104",365,Metro Civic Center Station/Outbd
341,M,6996,0,31,10.90217732,0,0,37.775234,-122.41934,0,131.1,131.1,36.064,16.50666667,16.50666667,M-OCEAN VIEW,Van Ness Sta,"1,020",558,Metro Van Ness Station
343,M,6998,0,32,10.89651337,0,0,37.767327,-122.429321,0,330.3833333,330.3833333,82.86133333,15.04333333,15.04333333,M-OCEAN VIEW,Church Sta,684,704,Metro Church Station/Outbound
336,M,6991,0,33,10.89334273,0,0,37.762683,-122.435289,0,197.6166667,197.6166667,49.15866667,14.92333333,14.92333333,M-OCEAN VIEW,Castro Sta,460,"1,260",Metro Castro Station/Outbound
338,M,6993,0,34,10.88653519,0,0,37.74817,-122.459192,0,467.8333333,467.8333333,176.8853333,22.68333333,22.68333333,M-OCEAN VIEW,Forest Hill Sta,319,578,Forest Hill Station Outbound
