,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP SEQ,Number of Trips in Time Period, Average Boardings , Average Alightings ,Stop Latitude,Stop Longitude,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S
343,3311,F,0,,,,,,,7.313537675606642,1.0,0.0,37.762576,-122.434979,0.0,445.50999999999993,445.50999999999993,30.797999999999988,4.15,4.15
344,3311,F,1,,,,,,,9.54676971858898,0.0,1.0,37.762576,-122.434979,0.0,0.0,0.0,0.0,0.0,0.0
345,4501,F,1,,,,,,,7.796486928104575,0.0,0.0,37.806945,-122.406278,0.0,247.59000000000003,247.59000000000003,31.82400000000001,7.71,7.71
346,4502,F,0,,,,,,,7.72242956952896,0.0,0.0,37.806629,-122.40603,0.0,349.28,349.28,42.075,7.23,7.23
347,4503,F,1,,,,,,,7.794117647058823,0.0,0.0,37.799552,-122.397869,0.0,251.20000000000005,251.20000000000005,31.82400000000001,7.599999999999999,7.599999999999999
348,4504,F,0,,,,,,,7.712152355194951,0.0,0.0,37.798901,-122.39743400000002,0.0,170.14000000000001,170.14000000000001,21.87899999999998,7.72,7.72
349,4513,F,1,,,,,,,7.792843137254901,0.0,0.0,37.795105,-122.393861,0.0,127.51999999999998,127.51999999999998,13.005,6.12,6.12
350,4515,F,1,,,,,,,7.795179738562094,0.0,0.0,37.803263,-122.401113,0.0,200.98000000000002,200.98000000000002,25.70400000000002,7.669999999999999,7.669999999999999
351,4516,F,0,,,,,,,7.717151228307414,0.0,0.0,37.80296,-122.401029,0.0,228.55999999999986,228.55999999999986,28.917,7.59,7.59
352,4517,F,1,,,,,,,7.794607843137257,0.0,0.0,37.801264,-122.399369,0.0,172.14000000000001,172.14000000000001,22.032,7.68,7.68
353,4518,F,0,,,,,,,7.714180752760874,0.0,0.0,37.800605,-122.39892000000002,0.0,239.12999999999997,239.12999999999997,30.446999999999992,7.64,7.64
354,4529,F,0,,,,,,,7.719659679963942,0.0,0.0,37.805022,-122.40331399999998,0.0,223.42,223.42,28.30499999999999,7.599999999999999,7.599999999999999
355,4530,F,1,,,,,,,7.7973856209150325,0.0,0.0,37.808351,-122.410287,0.0,296.27000000000004,296.27000000000004,36.720000000000006,7.44,7.44
356,4532,F,1,,,,,,,7.793480392156863,0.0,0.0,37.797085,-122.39567,0.0,202.81000000000003,202.81000000000003,25.856999999999985,7.650000000000001,7.650000000000001
