,MONTH,DOW,AGENCY_ID,ROUTE_SHORT_NAME,DIR,SEQ,NUMDAYS,OBSDAYS,TRIP_STOPS,OBS_TRIP_STOPS,IMP_TRIP_STOPS,WGT_TRIP_STOPS,STOP_ID,ROUTE_LONG_NAME,ROUTE_TYPE,TRIP_HEADSIGN,HEADWAY_S,FARE,STOPNAME,STOPNAME_AVL,EOL,SOL,TIMEPOINT,ARRIVAL_TIME_DEV,DEPARTURE_TIME_DEV,DWELL_S,DWELL,RUNTIME_S,RUNTIME,TOTTIME_S,TOTTIME,SERVMILES_S,SERVMILES,RUNSPEED_S,RUNSPEED,TOTSPEED_S,TOTSPEED,ONTIME5,ON,OFF,LOAD_ARR,LOAD_DEP,PASSMILES,PASSHOURS,WAITHOURS,FULLFARE_REV,PASSDELAY_DEP,PASSDELAY_ARR,RDBRDNGS,DOORCYCLES,WHEELCHAIR,BIKERACK,CAPACITY,VC,CROWDED,CROWDHOURS,Total_Pop,Total_Housing_Units,Workers_16_And_Over_Mean_Travel_Time_To_Work_(Minutes),VAC_RATE,OCC_RATE,PER_INCOME_0-15,PER_INCOME_15-50,PER_INCOME_50-100,PER_INCOME_100+,AVG_HH_SIZE,PER_HH_0VEH,POP_DEN_ACS,HH_DEN_ACS,HU_DEN_ACS,Average Hourly Price,parking_rate,PRICE1HR,PRICE2HR,PRICE3HR,PRICE4HR,PRICE12HR,PRICEDAY,PRICEDAYDISCOUNT,BART_FROMS,BART_TOS,CALTRAIN_OFF,CALTRAIN_ON,MUNI_RAIL_ALIGHTINGS,MUNI_RAIL_BOARDINGS,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED,HOUSING_09_SCALED,NUM_BUS_STOPS,Count_,EDD_EMP,FREQ_S
17215,2009-12-01,1,SFMTA,8X,1,11,18,0.0,114,0,,,4891,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.437182539682539,2.0,GENEVA AVE & NAPLES ST,,0,0,,,,0.0,,64.61999999999998,,64.61999999999998,,11.742000000000004,,10.9,,10.9,,,,,,,,,,,,,,,,,,,,,4347.0,1339.0,28.7,0.027632561613144136,0.972367438386856,0.03225806451612903,0.3640552995391705,0.3325652841781874,0.2711213517665131,3.338709677419355,0.0629800307219662,23.147019963516307,6.9329238538068125,7.129942427225287,0.0,1.511080332,,,,,,,,,,,,,,83.4358181485721,12.090050205922621,457.76966481904816,44.96608355114271,64.46284464053589,0.0,262.8448870228922,21.89591366696557,47.0261150070481,10.980119678254518,268.48067056926965,5.0,0.0,39.0,5.7486778421166695
17216,2009-12-01,1,SFMTA,8X,1,12,18,0.0,114,0,,,4888,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.438512949039264,2.0,GENEVA AVE & MUNICH ST,,0,0,,,,0.0,,111.41,,111.41,,20.178,,10.87,,10.87,,,,,,,,,,,,,,,,,,,,,4347.0,1339.0,28.7,0.027632561613144136,0.972367438386856,0.03225806451612903,0.3640552995391705,0.3325652841781874,0.2711213517665131,3.338709677419355,0.0629800307219662,23.147019963516307,6.9329238538068125,7.129942427225287,0.0,1.6109530580000002,,,,,,,,,,,,,,63.89756774409243,0.0,316.98833428894983,17.496170209279562,42.79011135159747,0.0,182.227898812404,17.121129547288213,28.072756380855928,0.3750406619913471,166.55095265823925,4.0,0.0,10.0,5.747945161625944
17217,2009-12-01,1,SFMTA,8X,1,13,18,0.0,114,0,,,4796,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.440559732664996,2.0,1650 GENEVA AVE,,0,0,,,,0.0,,171.63999999999996,,171.63999999999996,,31.122,,10.88,,10.88,,,,,,,,,,,,,,,,,,,,,4347.0,1339.0,28.7,0.027632561613144136,0.972367438386856,0.03225806451612903,0.3640552995391705,0.3325652841781874,0.2711213517665131,3.338709677419355,0.0629800307219662,23.147019963516307,6.9329238538068125,7.129942427225287,0.0,2.012256669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.42220554394537,0.0,210.22320883324417,12.484508743535285,34.686403429898206,0.2484076338514357,119.50928306499719,12.23610110968385,11.605316794403448,0.0,170.58673258593583,1.0,0.0,13.0,5.746818325485004
17218,2009-12-01,1,SFMTA,8X,1,14,18,0.0,114,0,,,4799,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.441787802840434,2.0,1750 GENEVA AVE,,0,0,,,,0.0,,97.09,,97.09,,17.669999999999995,,10.92,,10.92,,,,,,,,,,,,,,,,,,,,,4347.0,1339.0,28.7,0.027632561613144136,0.972367438386856,0.03225806451612903,0.3640552995391705,0.3325652841781874,0.2711213517665131,3.338709677419355,0.0629800307219662,23.147019963516307,6.9329238538068125,7.129942427225287,0.0,1.26522955,,,,,,,,,,,,,,47.675001686239746,0.0,245.31882137940983,17.316872374510336,39.796514391740594,0.9130154993387892,141.6963971631553,16.403856875171545,16.150908138274268,0.0,150.4820305096006,1.0,0.0,10.0,5.746142435845944
17219,2009-12-01,1,SFMTA,8X,1,15,18,0.0,114,0,,,7304,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.443322890559736,2.0,GENEVA AVE&CARTER ST,,0,0,,,,0.0,,117.75999999999992,,117.75999999999992,,20.976000000000006,,10.69,,10.69,,,,,,,,,,,,,,,,,,,,,2933.0,975.0,39.2,0.11076923076923076,0.8892307692307693,0.3506343713956171,0.4694348327566321,0.1510957324106113,0.0288350634371396,3.3829296424452133,0.43829296424452135,42.93788444315615,12.692514767206402,14.273589271079864,0.0,1.544856459,,,,,,,,,,,,,,46.84406330926938,0.0,311.3615546847168,13.544081571454024,42.02033171346105,0.07238215539072465,189.98222227013542,13.471699416063302,32.51493739185103,0.0,231.96103112081212,1.0,0.0,18.0,5.745297797335858
17220,2009-12-01,1,SFMTA,8X,1,16,18,0.0,114,0,,,6343,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.444653299916457,2.0,SANTOS ST & GENEVA AVE,,0,0,,,,0.0,,129.02,,129.02,,20.52,,9.54,,9.54,,,,,,,,,,,,,,,,,,,,,2575.0,668.0,28.7,0.0059880239520958105,0.994011976047904,0.15060240963855426,0.5421686746987951,0.2078313253012048,0.09939759036144576,3.878012048192772,0.12650602409638553,55.36137371575682,14.275709571752438,14.36170782218468,0.0,1.825853427,,,,,,,,,,,,,,49.77800594511663,0.11630670110800992,326.469917888682,25.1182352180637,49.189164384952214,0.0,195.1668541823001,19.09390800330789,32.33589337631316,5.908020513647795,171.41241220292352,6.0,0.0,82.0,5.744565978123938
17221,2009-12-01,1,SFMTA,8X,1,18,18,0.0,114,0,,,6345,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.444755639097744,2.0,SANTOS ST & VELASCO AVE,,0,0,,,,0.0,,64.00999999999999,,64.00999999999999,,10.26,,9.62,,9.62,,,,,,,,,,,,,,,,,,,,,2575.0,668.0,28.7,0.0059880239520958105,0.994011976047904,0.15060240963855426,0.5421686746987951,0.2078313253012048,0.09939759036144576,3.878012048192772,0.12650602409638553,55.36137371575682,14.275709571752438,14.36170782218468,0.0,1.825853427,,,,,,,,,,,,,,60.19299798054349,5.220003123251528,431.19147365096876,39.866069101191584,61.758668153566475,0.0,269.4848597999072,29.550738323197056,39.754947716951726,5.095327654742999,287.3038873104398,2.0,0.0,105.0,5.744509692060447
17222,2009-12-01,1,SFMTA,8X,1,19,18,0.0,114,0,,,6340,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.444901837928152,2.0,SANTOS ST & BROOKDALE AVE,,0,0,,,,0.0,,104.72,,104.72,,16.073999999999998,,9.21,,9.21,,,,,,,,,,,,,,,,,,,,,2933.0,975.0,39.2,0.11076923076923076,0.8892307692307693,0.3506343713956171,0.4694348327566321,0.1510957324106113,0.0288350634371396,3.3829296424452133,0.43829296424452135,42.93788444315615,12.692514767206402,14.273589271079864,0.0,1.9210526319999999,,,,,,,,,,,,,,41.53290694835941,3.2174529039273705,291.1847641503543,59.615274615804346,38.595902049395704,0.0,188.14645744280318,56.397821711876965,22.90949770979596,0.0,316.63462659169465,4.0,0.0,96.0,5.7444292853116545
17223,2009-12-01,1,SFMTA,8X,1,20,18,0.0,114,0,,,6578,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.4449895572264,2.0,SUNNYDALE AVE & SANTOS ST,,0,0,,,,0.0,,62.04999999999998,,62.04999999999998,,7.7520000000000024,,7.5,,7.5,,,,,,,,,,,,,,,,,,,,,2933.0,975.0,39.2,0.11076923076923076,0.8892307692307693,0.3506343713956171,0.4694348327566321,0.1510957324106113,0.0288350634371396,3.3829296424452133,0.43829296424452135,42.93788444315615,12.692514767206402,14.273589271079864,0.0,1.9210526319999999,,,,,,,,,,,,,,36.43362204795312,3.672368819132613,239.5377082006897,59.2594590101201,31.34270691339273,0.0,150.24269016114818,55.58709019098749,21.51868907819568,0.0,264.2114425060799,5.0,0.0,91.0,5.744381042342814
17224,2009-12-01,1,SFMTA,8X,1,21,18,0.0,114,0,,,4937,BAYSHORE EXPRESS,3,KEARNY & NORTH POINT ST.,10.445121136173768,2.0,HAHN ST & SUNNYDALE AVE,,0,0,,,,0.0,,67.44000000000001,,67.44000000000001,,10.374,,9.23,,9.23,,,,,,,,,,,,,,,,,,,,,4199.0,977.0,32.0,0.022517911975434998,0.9774820880245648,0.0806282722513089,0.3895287958115184,0.3780104712041885,0.15183246073298426,4.396858638743455,0.13507853403141362,51.30266449534323,11.668026814254056,11.936819055001273,0.0,1.631578947,,,,,,,,,,,,,,42.05071004588184,2.3960207540804586,323.02323501766006,45.674651478982256,52.749923674929406,0.0,196.83468568981,43.2786307249018,31.38791560703888,0.0,252.63932083854,4.0,0.0,30.0,5.744308679408869
