,DOW,AGENCY_ID,STOPNAME,STOP_ID,NUMDAYS,OBSDAYS,TRIP_STOPS,OBS_TRIP_STOPS,WGT_TRIP_STOPS,HEADWAY_S,FARE,STOP_LAT,STOP_LON,EOL,SOL,TIMEPOINT,ARRIVAL_TIME_DEV,DEPARTURE_TIME_DEV,DWELL_S,DWELL,RUNTIME_S,RUNTIME,TOTTIME_S,TOTTIME,SERVMILES_S,SERVMILES,RUNSPEED_S,RUNSPEED,TOTSPEED_S,TOTSPEED,ONTIME5,ON,OFF,LOAD_ARR,LOAD_DEP,PASSMILES,PASSHOURS,WAITHOURS,FULLFARE_REV,PASSDELAY_DEP,PASSDELAY_ARR,RDBRDNGS,DOORCYCLES,WHEELCHAIR,BIKERACK,CAPACITY,VC,CROWDED,CROWDHOURS,COUNT,AVG_HH_SIZE,HH_DEN_ACS,HU_DEN_ACS,OCC_RATE,PER_HH_0VEH,INC_0-15,INC_15-50,INC_50-100,INC_100+,POP_DEN_ACS,Total_HU,Total_Pop,VAC_RATE,TT_WORK_16,geometry,COMP_STOPS,EMPLOY_DEN_RAC,RETAIL_DEN_RAC,LEISURE_DEN_RAC,OTHER_DEN_RAC,EDHEALTH_DEN_RAC,HOUSING10_DEN,POP10_DEN,EMPLOY_DEN_WAC,RETAIL_DEN_WAC,LEISURE_DEN_WAC,OTHER_DEN_WAC,EDHEALTH_DEN_WAC,Corners_Touched,FROMS_BART,OFF_CAL,ON_CAL,TOS_BART,TRANSBAY
1998,1,SFMTA,Lawton St & Funston Ave  ,4859,21.33333333333333,11.333333333333336,53.0,13.0,53.1442308423828,21.333076923076927,2.0,37.7582,-122.47003,0.0,0.0,0.0,1.8100608511946439,1.8415424755184544,0.0,1.6769897881574745,39.509999999999984,41.84591472390648,39.509999999999984,43.52290451206395,8.798000000000004,8.821942319835546,13.36,12.663333333333332,13.36,12.176666666666668,0.6553946144989374,3.6657174795235012,15.808162680518995,325.02654777077436,312.88410256977886,53.95440692994854,4.576936900089937,0.6155208937752304,7.331434959047001,12.09396268103256,11.573393803062393,0.0,19.054297546765977,0.0,0.0,1623.8923076923074,0.09692306192811334,0.0,0.0,3,2.62398979158,12.621180665699999,13.5123401683,0.9340484704009999,0.08464483198640001,0.06082518077409999,0.147596767333,0.268396427052,0.52318162484,33.1178492245,2517,6169,0.0659515295987,31.9,POINT (-122.4700300000001 37.7582),1,12.22174589480693,0.8925994192836522,1.2587940528359198,7.232344012657284,2.8380084100300733,0.0,0.0,1.739424509373271,0.0,0.20598448137315054,1.5334400280001204,0.0,0,0.0,0.0,0.0,0.0,0
1999,1,SFMTA,Lawton St & Lomita Ave  ,4860,21.33333333333333,10.333333333333334,53.0,13.333333333333336,53.0,21.92711538461538,2.0,37.75913,-122.47227,0.0,0.0,0.0,0.6972197456948187,0.7244542806728559,0.0,1.4475220244708995,31.29000000000001,35.366254581018524,31.29000000000001,36.813776605489416,7.4730000000000025,7.472999999999999,14.33,12.696666666666665,14.33,12.2,0.7426791198712189,2.1726440476190483,10.591629927248675,327.8338660714285,319.41488019179894,46.224575116071435,4.041171387130732,0.3619536277281746,4.345288095238097,3.7678665244708993,3.5776897552910056,0.0,16.245277215608464,0.0,0.03333333333333333,1773.8,0.0981832482993197,0.0,0.0,3,2.62398979158,12.621180665699999,13.5123401683,0.9340484704009999,0.08464483198640001,0.06082518077409999,0.147596767333,0.268396427052,0.52318162484,33.1178492245,2517,6169,0.0659515295987,31.9,POINT (-122.4722700000001 37.75912999999997),2,14.991178163797171,1.1079706145695558,1.578018754083913,8.376929343488008,3.9282594516556975,0.0,0.0,1.6451684883002495,0.0,0.10072460132450507,1.4269318520971557,0.11751203487858927,0,0.0,0.0,0.0,0.0,0
2000,1,SFMTA,Lawton St & Lomita Ave  ,4861,21.33333333333333,11.333333333333336,53.0,13.0,53.1442308423828,21.335192307692303,2.0,37.75916,-122.47269,0.0,0.0,0.0,1.843487676326971,1.8512786114833448,0.0,0.4171555706852173,33.09,29.63803824914688,33.09,30.05519381983209,7.367000000000008,7.387048087091213,13.36,14.963333333333333,13.36,14.753333333333336,0.70435920578299,3.919874903271129,0.9660482216437084,322.0727210891468,325.02654777077436,44.76810823139141,3.1476352359936737,0.6440652154894578,7.839749806542258,7.875963194478197,7.5219037816850145,0.0,5.444326090947975,0.0,0.0,1623.8923076923074,0.09603807742790113,0.0,0.0,3,2.62398979158,12.621180665699999,13.5123401683,0.9340484704009999,0.08464483198640001,0.06082518077409999,0.147596767333,0.268396427052,0.52318162484,33.1178492245,2517,6169,0.0659515295987,31.9,POINT (-122.4726899999999 37.75916000000002),4,14.991178163797171,1.1079706145695558,1.578018754083913,8.376929343488008,3.9282594516556975,0.0,0.0,1.6451684883002495,0.0,0.10072460132450507,1.4269318520971557,0.11751203487858927,0,0.0,0.0,0.0,0.0,0
2001,1,SFMTA,Leavenworth St & Bush St  ,4862,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.767356321839086,2.0,37.78922,-122.41528999999998,0.0,0.0,0.0,2.51735608814162,2.7996235100749267,0.0,24.74188160497023,49.45999999999995,58.051313820443255,49.45999999999995,82.79319542541347,5.543999999999998,5.530871829857104,6.73,5.726666666666668,6.73,4.006666666666667,0.4696388452591697,37.19513184418556,330.4922647695474,1691.1662948226349,1397.8691618972725,106.54347657382601,28.209241677979023,3.88369767557608,74.39026368837112,222.96487981605847,208.05512430632348,0.0,144.78320414832285,0.13317572892040974,0.0,931.9178921568628,0.3056407818744815,0.007413738155414218,0.6894745955599214,3,1.4077510916999998,60.0837364733,74.875092996,0.802452912834,0.892467248908,0.267467248908,0.291484716157,0.264192139738,0.17685589519699998,84.58294561390001,2283,2579,0.197547087166,25.9,POINT (-122.4152899999999 37.78922000000006),8,79.93089454134575,6.259648367695752,14.27024732775395,46.7941545808864,12.606844265009626,0.0,0.0,60.5828904957407,6.2158746028866885,5.997005778841382,13.022695030695706,35.347315083316914,0,0.0,0.0,0.0,0.0,0
2002,1,SFMTA,Leavenworth St & California St,4863,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.761494252873565,2.0,37.79109,-122.41567000000002,0.0,0.0,0.0,3.0208120597520467,3.1997624280714114,0.0,15.708640136133859,51.5199999999999,52.094796804466895,51.5199999999999,67.80343694060076,5.807999999999992,5.794246678897919,6.7600000000000025,6.7,6.7600000000000025,5.1433333333333335,0.4412085721203966,20.005966858302948,183.3487952177837,1207.74399859113,1044.401170231649,79.71110390701456,16.666915063006037,2.0945696873265733,40.011933716605895,99.17993936578092,92.9870817402086,0.0,117.47881748413369,0.0,0.2186419216300318,930.6825980392157,0.21831909197377528,0.0009055255795363713,0.07868134559474149,3,1.62430939227,75.4421668362,96.28254441520001,0.78354978355,0.6319060773480001,0.11636740331499999,0.287983425414,0.32182320441999995,0.273825966851,122.541420165,3696,4704,0.21645021644999998,23.8,POINT (-122.4156700000001 37.79108999999995),9,65.64038304760423,5.033907753988569,9.846057457140637,40.67042652341425,10.089991313060787,0.0,0.0,50.56083559072218,6.076170592920121,2.017998262612157,8.604212372456232,33.86245436273367,0,0.0,0.0,0.0,0.0,0
2003,1,SFMTA,Leavenworth St & Clay St  ,4864,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.755862068965518,2.0,37.79295,-122.41604,0.0,0.0,0.0,3.170526889890496,3.3022677896012644,0.0,11.56675182126391,48.859999999999935,33.290390667666664,48.859999999999935,44.85714248893057,5.456000000000002,5.443080213510164,6.7,9.813333333333334,6.7,7.283333333333334,0.42801179398042777,7.898061872416887,190.90259581755046,904.6441191666652,721.6395852215315,56.08793538833326,8.102612106473346,0.8253878104020153,15.796123744833775,44.326560382723606,42.67329383872475,0.0,106.95823925382469,0.0,0.256530467343344,928.0575980392157,0.16345585492385573,0.0,0.0,3,2.07344632768,40.3737370102,53.2613988241,0.758029978587,0.541242937853,0.110169491525,0.16214689265499999,0.286440677966,0.441242937853,83.7127767386,2335,3670,0.241970021413,23.1,POINT (-122.4160400000001 37.79295000000001),6,61.76457010411461,4.803649371421799,9.136352726037536,38.735309882298324,9.089258124356931,0.0,0.0,5.557162998311493,0.5180406184866646,0.8947974319315115,4.097230346212712,0.04709460168060589,0,0.0,0.0,0.0,0.0,0
2004,1,SFMTA,Leavenworth St & Geary Blvd  ,4865,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.772298850574716,2.0,37.78643,-122.4147,0.0,0.0,0.0,1.9882580981179103,2.249056738227285,0.0,22.914828563088086,57.97000000000003,46.42588858991828,57.97000000000003,69.34071715300637,5.7200000000000095,5.706455062550981,5.919999999999999,7.376666666666668,5.919999999999999,4.9366666666666665,0.5012366791991035,84.87172736613988,205.15082722142085,1985.5289423224758,1865.249842467195,129.0593812509609,29.51430163730704,8.530296412814849,169.74345473227973,380.81094470104375,356.7961291436027,0.0,141.69229842872588,0.3779962444478029,0.0,934.3970588235294,0.35887750812881797,0.02258928731245825,2.42346211977982,3,1.53006012024,65.5658500894,95.0201147422,0.6900207421060001,0.88710754843,0.388443553774,0.21442885771499998,0.143954575818,0.253173012692,100.31969247200001,4339,4581,0.309979257894,27.8,POINT (-122.4147 37.78643000000005),8,91.21198997427652,7.527842290947268,17.184549602949602,52.892419595285475,13.60717848509419,0.0,0.0,20.849708969095925,0.8120412966911049,8.29598946349291,10.512642732838897,1.2290354760730235,0,0.0,0.0,0.0,0.0,0
2005,1,SFMTA,Leavenworth St & Jackson St  ,4866,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.75103448275862,2.0,37.79465,-122.41638,0.0,0.0,0.0,3.1572841825658062,3.258394883238292,0.0,8.84444316278749,45.28999999999999,33.640161652088146,45.28999999999999,42.48460481487564,5.1039999999999885,5.091913748122413,6.7600000000000025,9.086666666666666,6.7600000000000025,7.1933333333333325,0.424635483279715,4.9993933801460235,130.01499998732737,663.4974400129147,538.4818334057334,38.48285152074905,5.47385402741702,0.526739431750764,9.998786760292047,27.534681712283746,26.686495138885107,0.0,87.76258759598505,0.0,0.0,928.0575980392157,0.1199381544802396,0.0,0.0,3,2.0029276453400002,42.8005495716,48.7256779313,0.8783982365909999,0.398996235885,0.165621079046,0.118360518611,0.27268925135899996,0.443329150983,85.7264039725,2722,4789,0.121601763409,27.4,POINT (-122.4163799999999 37.79465000000003),3,57.4533830991337,4.507716686979385,9.282162172004886,35.2348742218921,8.428630018257309,0.0,0.0,8.72203169610804,1.4403355094490342,1.7070643074951517,5.361248840726961,0.21338303843689396,0,0.0,0.0,0.0,0.0,0
2006,1,SFMTA,Leavenworth St & O'Farrell St ,4867,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.773218390804596,2.0,37.7855,-122.41453,0.0,0.0,0.0,1.8492163794224008,2.1032473145727115,0.0,22.259196221880323,60.38000000000002,52.9804529044704,60.38000000000002,75.2396491263507,5.983999999999994,5.969829911591795,5.95,6.763333333333333,5.95,4.78,0.5026339704099757,138.3826674111563,120.287286056043,1967.378005411807,1985.47338676692,133.78170436800292,32.88346471310195,13.975076813669176,276.7653348223126,578.2420149779513,533.0948090862697,0.09803921568627452,132.3745259131913,1.9902880395651488,0.6780166061645913,934.3970588235294,0.3556384228533564,0.024419338855125847,2.797484423717248,3,1.53006012024,65.5658500894,95.0201147422,0.6900207421060001,0.88710754843,0.388443553774,0.21442885771499998,0.143954575818,0.253173012692,100.31969247200001,4339,4581,0.309979257894,27.8,POINT (-122.41453 37.78549999999997),6,87.79958840826684,7.42277660880295,16.514579910709518,50.5100183439254,13.352213544828976,0.0,0.0,25.386774437207716,0.7686307139292996,6.017280446189373,15.37261427858599,3.2282489985030582,0,0.0,0.0,0.0,0.0,0
2007,1,SFMTA,Leavenworth St & Pine St  ,4868,21.33333333333333,17.0,88.0,11.333333333333336,87.79161634693813,13.764252873563215,2.0,37.79015,-122.41548,0.0,0.0,0.0,2.8170642624123645,2.9947677187128625,0.0,15.638021033848212,51.5199999999999,55.625828142995566,51.5199999999999,71.26384917684379,5.7200000000000095,5.706455062550981,6.66,6.156666666666666,6.66,4.8100000000000005,0.4514646384095359,13.537712576822155,202.95782790632785,1397.1641139206354,1207.74399859113,90.81566740484129,20.341569573577235,1.3720911014193506,27.07542515364431,92.77414481102656,87.40218793095595,0.0,121.27434168671287,1.1350717820192082,0.25955930791288845,930.6825980392157,0.2525076919484069,0.0035848005992369226,0.33317908593694445,3,1.62430939227,75.4421668362,96.28254441520001,0.78354978355,0.6319060773480001,0.11636740331499999,0.287983425414,0.32182320441999995,0.273825966851,122.541420165,3696,4704,0.21645021644999998,23.8,POINT (-122.4154799999999 37.79015000000003),7,73.98582366951995,6.059749602737143,11.85698297719687,44.62775880716165,11.441332282424286,0.0,0.0,57.29416682154722,6.0378732503806924,3.1064420346161534,13.825854689277527,34.32399684727285,0,0.0,0.0,0.0,0.0,0
