,EDD_EMP_LOG_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,TRANSBAY_09,MUNI_RAIL_AVG_09,EDD_EMP_LOG_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
720,3.258096538021482,1.3303125282193964,0.0,4.951001308437753,0.24161950399999998,0.0,0.569260755,0.0,1,0,0,0,0.0,4.2626798770413155,1.3397855288530929,0.0,4.955463648318065,0.2724107919930374,0.0,0.5353785909760175,0.0,1,0,0,0.0,0.0
721,1.9459101490553132,1.7706012058523644,0.0,5.2562467120471155,0.352766431,0.0,0.5835405579999999,0.0,1,0,0,0,0.0,2.772588722239781,1.804066803629542,0.0,5.2522232474043,0.4352134146341463,0.0,0.4836471661636082,0.0,1,0,0,0.0,0.0
722,2.5649493574615367,1.3862943611198906,0.0,5.42057357374952,0.379002234,0.0,0.740599245,0.0,1,0,0,0,0.0,3.258096538021482,1.3862943611198906,0.0,5.4323160752216175,0.4888059701492536,0.0,0.6351613594598161,0.0,1,0,0,0.0,0.0
723,3.044522437723423,1.3862943611198906,0.0,5.367779366510349,0.379002234,0.0,0.670003434,0.0,1,0,0,0,0.0,3.258096538021482,1.3862943611198906,0.0,5.3750924119499945,0.4888059701492536,0.0,0.4736022888913831,0.0,1,0,0,0.0,0.0
724,3.044522437723423,1.0986122886681098,0.0,4.9405685690920915,0.343859649,0.0,0.585925926,0.0,1,0,0,0,710.5,3.4965075614664802,1.07880966137193,0.0,4.968009187118162,0.5398058252427184,0.0,0.6294893378226711,0.0,1,0,0,0.0,701.35
725,3.2188758248682006,1.200837746965115,1.0,5.491375694045175,0.477737035,0.0,0.730130992,0.0,1,0,0,0,0.0,3.258096538021482,1.320128500322944,0.0,5.490151124133509,0.5888650963597429,0.0,0.7361530033752257,0.0,1,0,0,0.0,0.0
726,2.4849066497880004,1.6600368717468332,0.0,5.01212270934553,0.595310136,0.0,0.567997503,0.0,1,0,0,0,0.0,2.3978952727983707,1.8027109483030863,0.0,5.011849270760415,0.5767761650114591,0.0,0.4177760026853201,0.0,1,0,0,0.0,0.0
727,5.0106352940962555,1.6882775347829353,0.0,5.2178880100938265,0.477737035,5.303304908059076,0.644880317,8.637462023807181,1,0,0,0,150.5,5.953243334287785,1.7327141533899821,0.0,5.21629059458812,0.5888650963597429,5.303304908059076,0.6512281378122973,8.636752426473876,0,0,0,0.0,209.2
728,5.0106352940962555,1.2903652196232935,0.0,5.2178880100938265,0.477737035,5.303304908059076,0.505897233,8.637462023807181,1,0,0,0,150.5,5.953243334287785,1.204732146988663,0.0,5.21629059458812,0.5888650963597429,5.303304908059076,0.5853706358480107,8.636752426473876,1,0,0,0.0,209.2
729,4.955827057601261,1.6601407844966884,0.0,5.16101215975022,0.409546731,0.0,0.572723395,8.637462023807181,1,0,0,0,150.5,5.961005339623274,1.712295297873808,1.0,5.159672148774958,0.5154346060113729,0.0,0.6059856459309625,8.636752426473876,1,0,0,0.0,209.2
730,4.955827057601261,1.2541312696585045,0.0,5.16101215975022,0.409546731,0.0,0.7749477359999999,8.637462023807181,1,0,0,0,150.5,5.961005339623274,1.210132859005323,0.0,5.159672148774958,0.5154346060113729,0.0,0.7625215923076384,8.636752426473876,1,0,0,0.0,209.2
731,2.4849066497880004,1.6882715112762268,0.0,4.984998149659423,0.42992623799999996,0.0,0.599188645,0.0,0,0,0,0,0.0,1.791759469228055,1.8188157151241757,0.0,4.984778803043203,0.5094953879544221,0.0,0.6128075031941843,0.0,0,0,0,0.0,0.0
732,5.0106352940962555,1.6882757631127172,0.0,5.369904424687844,0.477737035,5.303304908059076,0.610368017,0.0,1,0,0,0,0.0,5.793013608384144,1.8188260170341872,0.0,5.367879233175161,0.5888650963597429,5.303304908059076,0.6182935220331688,0.0,1,0,0,0.0,0.0
733,4.110873864173311,1.660113072976283,0.0,5.361141341659994,0.409546731,0.0,0.539143728,0.0,1,0,0,0,0.0,5.723585101952381,1.8024007478536894,0.0,5.358907605269813,0.5154346060113729,0.0,0.4085474433721743,0.0,1,0,0,0.0,0.0
734,4.836281906951478,1.4248395180114164,0.0,5.642944482640464,0.44794400700000003,0.0,0.5872037960000001,0.0,1,0,0,0,0.0,4.382026634673881,1.3332353217179411,0.0,5.642944482569455,0.4813460131675201,0.0,0.5152048528359804,0.0,1,0,0,0.0,0.0
735,2.302585092994046,1.287100478746346,0.0,5.478074941230663,0.44794400700000003,0.0,0.6568862879999999,0.0,1,0,0,0,0.0,2.6390573296152584,1.3378419777339439,0.0,5.475404613884638,0.4813460131675201,0.0,0.6530865957045661,0.0,1,0,0,0.0,0.0
736,1.6094379124341003,1.4247176114322646,0.0,5.418177564297664,0.44794400700000003,0.0,0.581463021,0.0,1,0,0,0,0.0,2.1972245773362196,1.3332353217179411,0.0,5.414826006337128,0.4813460131675201,0.0,0.5235726431144848,0.0,1,0,0,0.0,0.0
737,4.30406509320417,1.287100478746346,0.0,5.732929087428593,0.44794400700000003,0.0,0.655073435,0.0,1,0,0,0,0.0,4.343805421853684,1.3378419777339439,0.0,5.732929087515532,0.4813460131675201,0.0,0.6634696137136343,0.0,1,0,0,0.0,0.0
738,2.772588722239781,1.287100478746346,0.0,5.106964688869954,0.44794400700000003,0.0,0.648999261,0.0,1,0,0,0,0.0,3.332204510175204,1.3378419777339439,0.0,5.100891854054549,0.4813460131675201,0.0,0.6448656676674615,0.0,1,0,0,0.0,0.0
739,1.0986122886681098,1.3126054126250304,0.0,3.692601512901065,0.5904977379999999,0.0,0.667113238,0.0,1,0,0,0,0.0,,1.8166552241096077,0.0,3.692601512790561,0.7328605200945627,0.0,0.6133694550740746,0.0,1,0,0,0.0,0.0
