,ROUTE,STOP NAME,DIRECTION,STOP ID,STOP SEQ,Number of Trips in Time Period,Stop Latitude,Stop Longitude
102,KT-Ingleside/Third Street ,Third Street & Evans Ave,INBOUND,7365,38,15,37.74273,-122.38803
103,KT-Ingleside/Third Street ,Third Street & Evans Ave,OUTBOUND,7352,11,26,37.74273,-122.38792
104,KT-Ingleside/Third Street ,Third Street & Le Conte Ave,INBOUND,7394,46,15,37.718826,-122.39748999999999
105,KT-Ingleside/Third Street ,Third Street & Le Conte Ave,OUTBOUND,7400,3,26,37.718807,-122.39747
107,KT-Ingleside/Third Street ,Third Street & Marin St,OUTBOUND,7353,12,26,37.749,-122.38745
106,KT-Ingleside/Third Street ,Third Street & Marin St,INBOUND,7364,37,15,37.74908,-122.38748000000001
108,KT-Ingleside/Third Street ,Third Street & Mariposa St,INBOUND,7361,33,15,37.76424,-122.38886000000001
109,KT-Ingleside/Third Street ,Third Street & Mariposa St,OUTBOUND,7356,16,26,37.764393,-122.388855
111,KT-Ingleside/Third Street ,Third Street & Mission Rock St,OUTBOUND,7358,18,26,37.77299,-122.38972
110,KT-Ingleside/Third Street ,Third Street & Mission Rock St,INBOUND,7359,31,15,37.77283,-122.38972
113,KT-Ingleside/Third Street ,Third Street & Williams Ave,OUTBOUND,7345,6,26,37.729294,-122.39261
112,KT-Ingleside/Third Street ,Third Street & Williams Ave,INBOUND,7346,43,15,37.729263,-122.39263999999999
115,KT-Ingleside/Third Street ,Third Street/Gilman/Paul,OUTBOUND,7347,4,26,37.722446000000005,-122.39561
114,KT-Ingleside/Third Street ,Third Street/Gilman/Paul,INBOUND,7342,45,15,37.722412,-122.395645
117,KT-Ingleside/Third Street ,Third Street/Hudson/Innes,OUTBOUND,7404,10,26,37.739917999999996,-122.38888
116,KT-Ingleside/Third Street ,Third Street/Hudson/Innes,INBOUND,7390,39,15,37.739917999999996,-122.3889
118,KT-Ingleside/Third Street ,Third Street/Kirkwood/La Salle,INBOUND,7391,40,15,37.73764,-122.38971000000001
119,KT-Ingleside/Third Street ,Third Street/Kirkwood/La Salle,OUTBOUND,7403,9,26,37.73764,-122.38968999999999
120,KT-Ingleside/Third Street ,Third Street/Oakdale/Palou,INBOUND,7392,41,15,37.734352,-122.390854
121,KT-Ingleside/Third Street ,Third Street/Oakdale/Palou,OUTBOUND,7402,8,26,37.734359999999995,-122.39083000000001
122,KT-Ingleside/Third Street ,Third Street/Revere/Shafter,INBOUND,7393,42,15,37.732279999999996,-122.39153
123,KT-Ingleside/Third Street ,Third Street/Revere/Shafter,OUTBOUND,7401,7,26,37.732265000000005,-122.3915
124,KT-Ingleside/Third Street ,UCSF/Mission Bay,INBOUND,7360,32,15,37.76854,-122.389275
125,KT-Ingleside/Third Street ,UCSF/Mission Bay,OUTBOUND,7357,17,26,37.769047,-122.38931000000001
185,L-Taraval ,Ulloa St & Forest Side Ave,OUTBOUND,6736,11,9,37.741535,-122.468475
184,L-Taraval ,Ulloa St & Forest Side Ave,INBOUND,6737,20,6,37.741436,-122.4688
307,N-Judah ,Van Ness Station Outbound,OUTBOUND,6996,13,12,37.77523,-122.41933999999999
235,M-Ocean View ,Van Ness Station Outbound,OUTBOUND,6996,6,4,37.77523,-122.41933999999999
126,KT-Ingleside/Third Street ,Van Ness Station Outbound,OUTBOUND,6996,31,26,37.77523,-122.41933999999999
48,J-Church ,Van Ness Station Outbound,OUTBOUND,6996,6,7,37.77523,-122.41933999999999
186,L-Taraval ,Van Ness Station Outbound,OUTBOUND,6996,5,9,37.77523,-122.41933999999999
188,L-Taraval ,Wawona/46th Ave /SF Zoo,OUTBOUND,6932,30,9,37.736121999999995,-122.50435
187,L-Taraval ,Wawona/46th Ave /SF Zoo,INBOUND,6932,1,6,37.736121999999995,-122.50435
237,M-Ocean View ,West Portal Ave & 14th Ave,OUTBOUND,7125,12,4,37.738064,-122.46898999999999
236,M-Ocean View ,West Portal Ave & 14th Ave,INBOUND,6898,18,7,37.73786,-122.46903999999999
127,KT-Ingleside/Third Street ,West Portal Ave & 14th Ave,INBOUND,6898,12,15,37.73786,-122.46903999999999
128,KT-Ingleside/Third Street ,West Portal Ave & 14th Ave,OUTBOUND,7125,37,31,37.738064,-122.46898999999999
190,L-Taraval ,West Portal Station,OUTBOUND,6739,9,9,37.740947999999996,-122.4658
130,KT-Ingleside/Third Street ,West Portal Station,OUTBOUND,6739,35,31,37.740947999999996,-122.4658
239,M-Ocean View ,West Portal Station,OUTBOUND,6739,10,4,37.740947999999996,-122.4658
238,M-Ocean View ,West Portal Station,INBOUND,6740,20,7,37.740947999999996,-122.46575
129,KT-Ingleside/Third Street ,West Portal Station,INBOUND,6740,14,15,37.740947999999996,-122.46575
189,L-Taraval ,West Portal Station,INBOUND,6740,22,6,37.740947999999996,-122.46575
241,M-Ocean View ,West Portal/Sloat/St Francis Circle,OUTBOUND,6503,13,4,37.734809999999996,-122.47162
240,M-Ocean View ,West Portal/Sloat/St Francis Circle,INBOUND,7109,17,7,37.734825,-122.47145
132,KT-Ingleside/Third Street ,West Portal/Sloat/St Francis Circle,OUTBOUND,6503,38,31,37.734809999999996,-122.47162
131,KT-Ingleside/Third Street ,West Portal/Sloat/St Francis Circle,INBOUND,7109,11,15,37.734825,-122.47145
