,BLOCKCE,BLOCKID10,COUNTYFP10,HOUSING16,PARTFLG,STATEFP10,TRACTCE10,geometry
18,2003,6.08E+13,75,65,N,6,47702,"POLYGON ((-122.481113 37.774583, -122.480979 37.772716, -122.482049 37.772667, -122.482184 37.774534, -122.481113 37.774583))"
19,2000,6.08E+13,75,78,N,6,47702,"POLYGON ((-122.479106 37.776546, -122.478972 37.774681, -122.48004 37.774632, -122.480175 37.776498, -122.479106 37.776546))"
20,1010,6.08E+13,75,0,N,6,980300,"POLYGON ((-122.471762 37.773139, -122.471673 37.773046, -122.471682 37.772899, -122.471719 37.772769, -122.471804 37.772609, -122.471946 37.772481, -122.472106 37.772377, -122.472298 37.772326, -122.472427 37.772296, -122.472633 37.772303, -122.473983 37.772423, -122.474421 37.772483, -122.474697 37.7725, -122.47506 37.772504, -122.475766 37.772419, -122.476282 37.772369, -122.477949 37.772287, -122.478416 37.772256, -122.478713 37.772205, -122.478881 37.772139, -122.479057 37.772043, -122.479196 37.771919, -122.479288 37.771811, -122.479361 37.771669, -122.479403 37.771526, -122.479407 37.771404, -122.479504 37.771269, -122.479553 37.771449, -122.479546 37.771543, -122.479499 37.771704, -122.479417 37.771865, -122.479311 37.77199, -122.479153 37.772129, -122.478955 37.772238, -122.478761 37.772314, -122.478434 37.77237, -122.477905 37.772388, -122.476239 37.77247, -122.475808 37.77251, -122.475074 37.772604, -122.474689 37.772615, -122.473962 37.772536, -122.473557 37.772483, -122.472623 37.772417, -122.472445 37.772411, -122.472176 37.772479, -122.472046 37.772563, -122.471928 37.77267, -122.471857 37.772804, -122.471825 37.772914, -122.471817 37.773051, -122.471762 37.773139))"
21,2002,6.08E+13,75,85,N,6,47600,"POLYGON ((-122.473833 37.778653, -122.473698 37.776793, -122.474821 37.776742, -122.474956 37.778602, -122.473833 37.778653))"
22,2005,6.08E+13,75,0,N,6,40200,"POLYGON ((-122.471915 37.782596, -122.471775 37.780681, -122.471874 37.780745, -122.472167 37.780736, -122.472312 37.780656, -122.472254 37.780829, -122.472375 37.782504, -122.472451 37.782579, -122.471915 37.782596))"
23,2003,6.08E+13,75,142,N,6,40200,"POLYGON ((-122.469627 37.780769, -122.469757 37.780838, -122.470583 37.780805, -122.470717 37.780723, -122.470846 37.782652, -122.46977 37.782702, -122.469627 37.780769))"
24,2001,6.08E+13,75,119,N,6,47600,"POLYGON ((-122.472708 37.778704, -122.472572 37.776844, -122.473698 37.776793, -122.473833 37.778653, -122.472708 37.778704))"
25,5018,6.08E+13,75,41,N,6,26200,"POLYGON ((-122.464339 37.709162, -122.46434 37.70928, -122.464341 37.709415, -122.462601 37.708232, -122.46274 37.708232, -122.462783 37.708232, -122.463583 37.708332, -122.464043 37.70824, -122.464083 37.708232, -122.46445 37.708232, -122.464483 37.708232, -122.46467 37.708211, -122.464892 37.708186, -122.464896 37.708186, -122.464896 37.70821, -122.464871 37.70858, -122.464769 37.708957, -122.464638 37.709046, -122.464339 37.709162))"
26,2003,6.08E+13,75,53,N,6,32601,"POLYGON ((-122.480337 37.76342, -122.480207 37.761559, -122.481278 37.761512, -122.481409 37.763373, -122.480337 37.76342))"
27,2006,6.08E+13,75,70,N,6,32602,"POLYGON ((-122.482221 37.75959599999999, -122.482091 37.757731, -122.483161 37.757684, -122.483292 37.759549, -122.482221 37.75959599999999))"
28,2001,6.08E+13,75,113,N,6,32601,"POLYGON ((-122.478191 37.763515, -122.478062 37.761653, -122.479136 37.761606, -122.479267 37.763467, -122.478191 37.763515))"
29,2003,6.08E+13,75,148,N,6,30201,"POLYGON ((-122.473913 37.763703, -122.473783 37.761841, -122.473862 37.761879, -122.474789 37.761838, -122.474855 37.76179399999999, -122.474985 37.763656, -122.473913 37.763703))"
30,1005,6.08E+13,75,60,N,6,30301,"POLYGON ((-122.474594 37.758061, -122.474667 37.758099, -122.475599 37.758058, -122.475666 37.758014, -122.475797 37.759879, -122.474724 37.759927, -122.474594 37.758061))"
31,2000,6.08E+13,75,3,N,6,30201,"POLYGON ((-122.470465 37.761987, -122.470541 37.762025, -122.471472 37.761984, -122.471538 37.76194, -122.471668 37.763802, -122.470595 37.763849, -122.470465 37.761987))"
32,6005,6.08E+13,75,60,N,6,32700,"POLYGON ((-122.493877 37.757211, -122.493751 37.755351, -122.49482 37.755301, -122.494952 37.757164, -122.493877 37.757211))"
33,1008,6.08E+13,75,0,N,6,32902,"POLYGON ((-122.494691 37.753437, -122.495227 37.753414, -122.495156 37.75354799999999, -122.495273 37.755224, -122.495358 37.75527599999999, -122.49482 37.755301, -122.494691 37.753437))"
