,BLOCKCE,BLOCKID10,COUNTYFP10,HOUSING16,PARTFLG,STATEFP10,TRACTCE10,geometry
2212,1000,6.08E+13,75,193,N,6,61400,"POLYGON ((-122.396675 37.754707, -122.396323 37.754417, -122.394734 37.752664, -122.394587 37.752427, -122.395548 37.752369, -122.396513 37.752311, -122.396506 37.752471, -122.396483 37.752629, -122.396505 37.752811, -122.396609 37.752968, -122.397375 37.753823, -122.397524 37.753937, -122.397753 37.754016, -122.397981 37.753986, -122.398149 37.753906, -122.398346 37.753754, -122.398593 37.753685, -122.398606 37.753822, -122.398693 37.754745, -122.398554 37.754774, -122.397729 37.754827, -122.397206 37.75484, -122.396943 37.7548, -122.396675 37.754707))"
2213,2001,6.08E+13,75,7,N,6,15300,"POLYGON ((-122.438206 37.785459, -122.439873 37.785248, -122.439846 37.785341, -122.439994 37.786114, -122.440061 37.78618, -122.438394 37.786392, -122.438206 37.785459))"
2214,1004,6.08E+13,75,187,N,6,13200,"POLYGON ((-122.431449 37.793767, -122.433088 37.793558, -122.433274 37.794474, -122.432561 37.794565, -122.431634 37.794684, -122.431449 37.793767))"
2215,1008,6.08E+13,75,92,N,6,13200,"POLYGON ((-122.432918 37.79268, -122.434558 37.792472, -122.434734 37.793347, -122.433088 37.793558, -122.433 37.793119, -122.432918 37.79268))"
2216,1003,6.08E+13,75,132,N,6,13500,"POLYGON ((-122.43438 37.791592, -122.436026 37.791383, -122.436204 37.792263, -122.434558 37.792472, -122.43438 37.791592))"
2217,1004,6.08E+13,75,76,N,6,13500,"POLYGON ((-122.434203 37.790711, -122.435849 37.790502, -122.436026 37.791383, -122.43438 37.791592, -122.434203 37.790711))"
2218,1003,6.08E+13,75,73,N,6,13400,"POLYGON ((-122.435581 37.789172, -122.437225 37.788962, -122.437319 37.78942199999999, -122.435673 37.789629, -122.435581 37.789172))"
2219,2000,6.08E+13,75,24,N,6,15300,"POLYGON ((-122.436557 37.785668, -122.438206 37.785459, -122.438394 37.786392, -122.436747 37.786601, -122.436557 37.785668))"
2220,2005,6.08E+13,75,180,N,6,13500,"POLYGON ((-122.433019 37.789011, -122.43384 37.788906, -122.434027 37.789837, -122.433595 37.789892, -122.432385 37.790044, -122.432197 37.789115, -122.433019 37.789011))"
2221,2006,6.08E+13,75,0,N,6,15500,"POLYGON ((-122.432914 37.784355, -122.43297 37.78441, -122.433069 37.784507, -122.433775 37.784413, -122.433905 37.785048, -122.433083 37.785151, -122.432927 37.784415, -122.432914 37.784355))"
2222,2001,6.08E+13,75,0,N,6,12602,"POLYGON ((-122.428255 37.806997, -122.427777 37.807083, -122.427556 37.806768, -122.42714 37.805433, -122.427719 37.805899, -122.427738 37.80592499999999, -122.428055 37.806355, -122.428255 37.806997))"
2223,2003,6.08E+13,75,99,N,6,12902,"POLYGON ((-122.431219 37.800984, -122.432864 37.800773, -122.432958 37.801236, -122.431311 37.801445, -122.431219 37.800984))"
2224,1003,6.08E+13,75,98,N,6,12902,"POLYGON ((-122.429102 37.798858, -122.430747 37.798648, -122.430821 37.799013, -122.430935 37.799579, -122.42929 37.799788, -122.429178 37.799234, -122.429102 37.798858))"
2225,2001,6.08E+13,75,97,N,6,13000,"POLYGON ((-122.428914 37.797925, -122.430559 37.797716, -122.430747 37.798648, -122.429102 37.798858, -122.428914 37.797925))"
2226,2005,6.08E+13,75,151,N,6,13000,"POLYGON ((-122.429574 37.795931, -122.430183 37.795854, -122.430371 37.796783, -122.428725 37.796992, -122.428538 37.796063, -122.428601 37.796054, -122.429574 37.795931))"
2227,2002,6.08E+13,75,63,N,6,21300,"POLYGON ((-122.440616 37.750902, -122.440459 37.749301, -122.441538 37.749231, -122.441687 37.750836, -122.440616 37.750902))"
2228,3004,6.08E+13,75,76,N,6,20500,"POLYGON ((-122.435808 37.757623, -122.435642 37.756041, -122.436744 37.755966, -122.436886 37.757557, -122.435808 37.757623))"
2229,1002,6.08E+13,75,60,N,6,21200,"POLYGON ((-122.436744 37.755966, -122.4366 37.754359, -122.437649 37.754296, -122.437769 37.755541, -122.437803 37.755893, -122.436744 37.755966))"
2230,3005,6.08E+13,75,67,N,6,20600,"POLYGON ((-122.432407 37.75702, -122.432331 37.756227, -122.434546 37.756093, -122.434622 37.756887, -122.432407 37.75702))"
2231,1005,6.08E+13,75,198,N,6,21600,"POLYGON ((-122.431325 37.745828, -122.431256 37.74503199999999, -122.431383 37.745005, -122.433466 37.744881, -122.433545 37.745687, -122.434723 37.745612, -122.433698 37.746494, -122.433606 37.746463, -122.433085 37.746498, -122.432077 37.746545, -122.432027 37.746596, -122.431412 37.74663, -122.431325 37.745828))"
2232,2009,6.08E+13,75,37,N,6,21600,"POLYGON ((-122.442629 37.744348, -122.442809 37.744331, -122.442842 37.744676, -122.443243 37.744867, -122.443173 37.744913, -122.442949 37.745146, -122.442692 37.745095, -122.442385 37.745078, -122.441881 37.745189, -122.44127 37.745231, -122.441271 37.745048, -122.441366 37.744907, -122.44171 37.744629, -122.442014 37.744452, -122.442271 37.744375, -122.442629 37.744348))"
2233,2014,6.08E+13,75,93,N,6,30700,"POLYGON ((-122.44432 37.733811, -122.44432 37.733512, -122.44432 37.733088, -122.446601 37.733077, -122.448873 37.733069, -122.448878 37.73381, -122.44833 37.733812, -122.448331 37.73428, -122.447319 37.734283, -122.447049 37.734252, -122.446849 37.734177, -122.446536 37.733992, -122.446392 37.733894, -122.446187 37.733824, -122.446023 37.73381699999999, -122.445782 37.73385, -122.445605 37.733801, -122.44432 37.733811))"
2234,5011,6.08E+13,75,63,N,6,31100,"POLYGON ((-122.439743 37.731584, -122.439843 37.731627, -122.441923 37.731624, -122.442021 37.73157399999999, -122.442027 37.732357, -122.439748 37.732368, -122.439743 37.731584))"
2235,3001,6.08E+13,75,71,N,6,21700,"POLYGON ((-122.432225 37.741783, -122.431976 37.741526, -122.431548 37.740976, -122.431077 37.740594, -122.430857 37.74046, -122.430741 37.740424, -122.43075 37.740351, -122.431759 37.73980299999999, -122.432472 37.740583, -122.432724 37.740765, -122.432936 37.740838, -122.433979 37.74115, -122.434211 37.741295, -122.434365 37.74147, -122.434408 37.741519, -122.434743 37.742076, -122.434923 37.742316, -122.435038 37.74247, -122.435202 37.742596, -122.435509 37.74259199999999, -122.435536 37.742697, -122.435559 37.743161, -122.434622 37.743218, -122.434547 37.742809, -122.434472 37.742555, -122.434194 37.742434, -122.433315 37.742495, -122.433259 37.741903, -122.432902 37.74192499999999, -122.432781 37.741899, -122.432597 37.7418, -122.432444 37.741772, -122.432225 37.741783))"
2236,4002,6.08E+13,75,60,N,6,21800,"POLYGON ((-122.430791 37.73609, -122.430246 37.73556, -122.431541 37.734719, -122.431858 37.7346, -122.432417 37.734551, -122.432443 37.734843, -122.432458 37.735006, -122.430791 37.73609))"
2237,2008,6.08E+13,75,17,N,6,20600,"POLYGON ((-122.431846 37.757054, -122.43177 37.75626, -122.432331 37.756227, -122.432407 37.75702, -122.431846 37.757054))"
2238,1004,6.08E+13,75,62,N,6,22600,"POLYGON ((-122.387917 37.764379, -122.387795 37.763107, -122.388738 37.763048, -122.388677 37.763139, -122.388787 37.764237, -122.388851 37.764322, -122.387917 37.764379))"
2239,1020,6.08E+13,75,125,N,6,22600,"POLYGON ((-122.387736 37.762392, -122.38769 37.761826, -122.388684 37.761766, -122.38863 37.761858, -122.388656 37.762956, -122.388738 37.763048, -122.387795 37.763107, -122.387736 37.762392))"
2240,1039,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.386285 37.74778, -122.386273 37.747756, -122.386272 37.747701, -122.38627 37.747653, -122.386267 37.747578, -122.386265 37.747524, -122.386262 37.74747199999999, -122.386258 37.747419, -122.386247 37.747352, -122.386241 37.747298, -122.386235 37.747222, -122.386234 37.74721, -122.386888 37.747174, -122.38721 37.747172, -122.387253 37.747596, -122.387154 37.747605, -122.387112 37.747625, -122.387051 37.74768299999999, -122.387006 37.747717, -122.386913 37.747727, -122.386811 37.747749, -122.386539 37.747777, -122.386412 37.747787, -122.386372 37.747766, -122.386315 37.747757, -122.386285 37.74778))"
2241,2009,6.08E+13,75,0,N,6,22600,"POLYGON ((-122.391961 37.755812, -122.391901 37.75515499999999, -122.391954 37.755152, -122.392082 37.755144, -122.392186 37.755897, -122.392253 37.756314, -122.392196 37.75659, -122.392221 37.757178, -122.392214 37.757471, -122.392209 37.757706, -122.392134 37.75771, -122.391961 37.755812))"
2242,1012,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.391616 37.752606, -122.39153 37.752612, -122.391528 37.752242, -122.391582 37.751782, -122.391619 37.752218, -122.391616 37.752606))"
2243,1009,6.08E+13,75,18,N,6,980900,"POLYGON ((-122.38973 37.752721, -122.389684 37.752264, -122.3896 37.751446, -122.390564 37.75139, -122.390683 37.752663, -122.38973 37.752721))"
2244,1038,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.387363 37.747229, -122.387391 37.747532, -122.38733 37.747542, -122.387253 37.747596, -122.38721 37.747172, -122.387289 37.747172, -122.387319 37.747226, -122.387363 37.747229))"
2245,1003,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.385616 37.750383, -122.38549 37.749121, -122.386428 37.749066, -122.38654 37.75022999999999, -122.386568 37.750325, -122.385616 37.750383))"
2246,1124,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.38976 37.744673, -122.3879 37.74361, -122.388455 37.742981, -122.390328 37.744046, -122.38976 37.744673))"
2247,1135,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.38385 37.742379, -122.383941 37.741901, -122.384051 37.741651, -122.384706 37.740898, -122.384785 37.741029, -122.385688 37.741546, -122.386406 37.741956, -122.386555 37.74195, -122.386112 37.742445, -122.385935 37.742572, -122.385716 37.74263, -122.385426 37.742609, -122.38385 37.742379))"
2248,1023,6.08E+13,75,53,N,6,61200,"POLYGON ((-122.38922 37.735856, -122.389771 37.735225, -122.390416 37.735591, -122.390321 37.735671, -122.390116 37.736258, -122.390145 37.73639, -122.38922 37.735856))"
2249,1025,6.08E+13,75,0,N,6,61200,"POLYGON ((-122.38791 37.73417, -122.388482 37.733534, -122.390345 37.734599, -122.390694 37.734797, -122.390598 37.73488, -122.3904 37.735446, -122.390416 37.735591, -122.389771 37.735225, -122.38791 37.73417))"
2250,4006,6.08E+13,75,0,N,6,21800,"POLYGON ((-122.429417 37.734754, -122.429391 37.734636, -122.430034 37.734405, -122.431006 37.733972, -122.43107 37.733944, -122.431364 37.733813, -122.431595 37.733765, -122.431481 37.733869, -122.431232 37.734031, -122.431109 37.73411, -122.429699 37.735027, -122.429417 37.734754))"
2251,1002,6.08E+13,75,0,N,6,25701,"POLYGON ((-122.421731 37.731352, -122.421726 37.731438, -122.421715 37.731608, -122.420327 37.731814, -122.419454 37.731867, -122.418463 37.731867, -122.417402 37.731856, -122.416652 37.731819, -122.415897 37.731881, -122.415053 37.732043, -122.416112 37.73178, -122.416908 37.731692, -122.419808 37.731686, -122.420764 37.73154299999999, -122.421731 37.731352))"
2252,2008,6.08E+13,75,0,N,6,21500,"POLYGON ((-122.424459 37.744636, -122.424368 37.744529, -122.424313 37.74395, -122.424385 37.743838, -122.42448 37.743948, -122.424533 37.744514, -122.424459 37.744636))"
2253,2006,6.08E+13,75,0,N,6,21800,"POLYGON ((-122.428105 37.738676, -122.428046 37.738639, -122.427945 37.738397, -122.428162 37.737767, -122.428256 37.737744, -122.428015 37.738413, -122.42811 37.738617, -122.428105 37.738676))"
2254,1003,6.08E+13,75,0,N,6,25200,"POLYGON ((-122.412589 37.748322, -122.411628 37.748341, -122.411484 37.748298, -122.411618 37.74824, -122.413529 37.748202, -122.413669 37.748255, -122.413536 37.748304, -122.412589 37.748322))"
2255,1010,6.08E+13,75,0,N,6,25200,"POLYGON ((-122.413669 37.748255, -122.413811 37.748197, -122.414825 37.748182, -122.414919 37.748231, -122.414826 37.748273, -122.413818 37.748292, -122.413669 37.748255))"
2256,1023,6.08E+13,75,13,N,6,25500,"POLYGON ((-122.428203 37.731851, -122.428686 37.731365, -122.429492 37.731127, -122.429571 37.73104, -122.429766 37.73146, -122.428953 37.731685, -122.428347 37.731853, -122.428324 37.731877, -122.428203 37.731851))"
2257,1026,6.08E+13,75,0,N,6,61200,"POLYGON ((-122.390416 37.735591, -122.3904 37.735446, -122.390598 37.73488, -122.390694 37.734797, -122.390712 37.734947, -122.390515 37.735511, -122.390416 37.735591))"
2258,2017,6.08E+13,75,0,N,6,25701,"POLYGON ((-122.406958 37.735281, -122.407287 37.735204, -122.407127 37.735509, -122.407074 37.735611, -122.406996 37.73549, -122.406894 37.735296, -122.406958 37.735281))"
2259,2016,6.08E+13,75,0,N,6,25701,"POLYGON ((-122.4075 37.73598, -122.407556 37.735945, -122.407609 37.735886, -122.407629 37.735817, -122.407641 37.735737, -122.407616 37.735667, -122.407669 37.73557, -122.407846 37.735739, -122.407999 37.735885, -122.407881 37.735903, -122.407751 37.735928, -122.407623 37.73595299999999, -122.407514 37.735997, -122.407437 37.736024, -122.4075 37.73598))"
2260,3014,6.08E+13,75,17,N,6,13200,"POLYGON ((-122.444656 37.792088, -122.4463 37.791879, -122.446446 37.792811, -122.444843 37.793015, -122.444656 37.792088))"
2261,3000,6.08E+13,75,72,N,6,13000,"POLYGON ((-122.430559 37.797716, -122.431438 37.797604, -122.432204 37.797507, -122.432393 37.79843899999999, -122.430747 37.798648, -122.430559 37.797716))"
2262,2005,6.08E+13,75,56,N,6,12800,"POLYGON ((-122.443573 37.795108, -122.445224 37.794898, -122.44541 37.795827, -122.443761 37.796036, -122.443573 37.795108))"
2263,1008,6.08E+13,75,67,N,6,10200,"POLYGON ((-122.418718 37.805932, -122.420369 37.80572, -122.42056 37.806658, -122.419577 37.80678, -122.418782 37.806241, -122.418718 37.805932))"
2264,1006,6.08E+13,75,142,N,6,12901,"POLYGON ((-122.424538 37.801304, -122.424623 37.801201, -122.42448 37.800495, -122.424359 37.800415, -122.426001 37.800206, -122.426109 37.800741, -122.42618 37.801095, -122.42605 37.801048, -122.424738 37.801215, -122.424538 37.801304))"
2265,3007,6.08E+13,75,78,N,6,10200,"POLYGON ((-122.422527 37.802561, -122.423088 37.80249, -122.423275 37.803413, -122.422357 37.803529, -122.422171 37.803552, -122.421917 37.803551, -122.42183 37.803546, -122.42177 37.803543, -122.421659 37.803495, -122.421568 37.803401, -122.421504 37.803264, -122.421444 37.80281, -122.42148 37.802695, -122.421751 37.80265199999999, -122.421768 37.80265, -122.422164 37.802616, -122.422191 37.802604, -122.422293 37.802591, -122.422527 37.802561))"
2266,3003,6.08E+13,75,230,N,6,10900,"POLYGON ((-122.422148 37.797825, -122.423793 37.797617, -122.423709 37.797723, -122.423861 37.798472, -122.423982 37.798552, -122.422337 37.798762, -122.422148 37.797825))"
2267,3006,6.08E+13,75,130,N,6,10900,"POLYGON ((-122.423601 37.796691, -122.423521 37.796793, -122.423599 37.797179, -122.423672 37.797536, -122.423793 37.797617, -122.422148 37.797825, -122.422056 37.797371, -122.421961 37.7969, -122.423601 37.796691))"
2268,1018,6.08E+13,75,73,N,6,10200,"POLYGON ((-122.419614 37.801995, -122.421144 37.801806, -122.421258 37.801758, -122.421434 37.802612, -122.42148 37.802695, -122.419797 37.802927, -122.419614 37.801995))"
2269,3004,6.08E+13,75,174,N,6,13000,"POLYGON ((-122.431828 37.795644, -122.432016 37.796575, -122.43119 37.796679, -122.430371 37.796783, -122.430183 37.795854, -122.431828 37.795644))"
2270,1000,6.08E+13,75,102,N,6,13500,"POLYGON ((-122.429447 37.792217, -122.431092 37.792008, -122.431263 37.792889, -122.429625 37.793098, -122.429447 37.792217))"
2271,2001,6.08E+13,75,77,N,6,13500,"POLYGON ((-122.430737 37.790252, -122.432385 37.790044, -122.432562 37.79092, -122.43274 37.7918, -122.431092 37.792008, -122.430914 37.79113, -122.430737 37.790252))"
2272,2004,6.08E+13,75,97,N,6,13000,"POLYGON ((-122.427511 37.796193, -122.427916 37.796142, -122.428538 37.796063, -122.428725 37.796992, -122.42708 37.7972, -122.426893 37.79627199999999, -122.427511 37.796193))"
2273,1001,6.08E+13,75,240,N,6,13101,"POLYGON ((-122.425184 37.796155, -122.425057 37.795527, -122.4267 37.795316, -122.426872 37.796171, -122.426893 37.79627199999999, -122.42525 37.796481, -122.425184 37.796155))"
2274,1000,6.08E+13,75,45,N,6,13102,"POLYGON ((-122.426157 37.792634, -122.427804 37.792425, -122.427983 37.793307, -122.426335 37.793517, -122.426157 37.792634))"
2275,2007,6.08E+13,75,95,N,6,15200,"POLYGON ((-122.430168 37.787441, -122.429979 37.786504, -122.431552 37.786304, -122.431481 37.786375, -122.431586 37.786903, -122.431685 37.787146, -122.431813 37.787231, -122.430168 37.787441))"
2276,2003,6.08E+13,75,204,N,6,13101,"POLYGON ((-122.422694 37.792175, -122.424341 37.791965, -122.424518 37.792841, -122.422871 37.79305, -122.422955 37.792944, -122.422816 37.792255, -122.422694 37.792175))"
2277,2004,6.08E+13,75,336,N,6,13101,"POLYGON ((-122.422515 37.791289, -122.424161 37.791081, -122.424341 37.791965, -122.422694 37.792175, -122.422778 37.792068, -122.422636 37.791369, -122.422515 37.791289))"
2278,1005,6.08E+13,75,111,N,6,13102,"POLYGON ((-122.422329 37.79037, -122.423975 37.79016, -122.424161 37.791081, -122.422515 37.791289, -122.422599 37.791183, -122.422455 37.790472, -122.422329 37.79037))"
2279,1003,6.08E+13,75,56,N,6,21100,"POLYGON ((-122.427813 37.75569, -122.427736 37.754897, -122.428849 37.754832, -122.429369 37.754799, -122.429962 37.75476099999999, -122.430038 37.755556, -122.427813 37.75569))"
2280,1009,6.08E+13,75,75,N,6,21100,"POLYGON ((-122.428695 37.753225, -122.429234 37.753193, -122.429808 37.753158, -122.429884 37.753957, -122.429962 37.75476099999999, -122.429369 37.754799, -122.428849 37.754832, -122.428811 37.75444, -122.428695 37.753225))"
2281,1004,6.08E+13,75,96,N,6,21100,"POLYGON ((-122.427583 37.75329199999999, -122.428165 37.753257, -122.428695 37.753225, -122.428811 37.75444, -122.428849 37.754832, -122.427736 37.754897, -122.427583 37.75329199999999))"
2282,1007,6.08E+13,75,2,N,6,21100,"POLYGON ((-122.42546 37.754208, -122.425529 37.754945, -122.425457 37.755029, -122.425378 37.754945, -122.425236 37.753519, -122.425303 37.753432, -122.425395 37.753514, -122.42546 37.754208))"
2283,2001,6.08E+13,75,153,N,6,21100,"POLYGON ((-122.426478 37.75336, -122.426333 37.751771, -122.427437 37.751705, -122.427503 37.75245, -122.427583 37.75329199999999, -122.427023 37.753326, -122.426478 37.75336))"
2284,5001,6.08E+13,75,91,N,6,21500,"POLYGON ((-122.42927 37.747564, -122.429193 37.746763, -122.431412 37.74663, -122.431477 37.747434, -122.42927 37.747564))"
2285,2000,6.08E+13,75,0,N,6,21400,"POLYGON ((-122.424999 37.750233, -122.424908 37.750125, -122.424869 37.749725, -122.424851 37.749548, -122.424923 37.749435, -122.425015 37.749538, -122.425069 37.750116, -122.424999 37.750233))"
2286,2005,6.08E+13,75,0,N,6,21400,"POLYGON ((-122.424923 37.749435, -122.42483 37.749331, -122.424773 37.748752, -122.424845 37.748633, -122.424942 37.74874399999999, -122.424995 37.74932099999999, -122.424923 37.749435))"
2287,3000,6.08E+13,75,147,N,6,20700,"POLYGON ((-122.421118 37.756902, -122.421041 37.756102, -122.423215 37.755971, -122.423281 37.756672, -122.423331 37.756769, -122.421118 37.756902))"
2288,2002,6.08E+13,75,0,N,6,21000,"POLYGON ((-122.42291 37.752778, -122.422841 37.75206, -122.422879 37.75197199999999, -122.422926 37.752055, -122.423061 37.753465, -122.423028 37.753569, -122.422975 37.753467, -122.42291 37.752778))"
2289,3002,6.08E+13,75,159,N,6,21000,"POLYGON ((-122.421595 37.752047, -122.421438 37.75045, -122.422726 37.750372, -122.42269 37.750511, -122.422821 37.751858, -122.422879 37.75197199999999, -122.421595 37.752047))"
2290,4001,6.08E+13,75,67,N,6,21000,"POLYGON ((-122.420832 37.748878, -122.421284 37.74885, -122.421391 37.749962, -122.421438 37.75045, -122.420985 37.750477, -122.420832 37.748878))"
2291,4003,6.08E+13,75,32,N,6,21000,"POLYGON ((-122.420279 37.748125, -122.42047 37.748161, -122.421299 37.748143, -122.421393 37.748124, -122.4223 37.74807, -122.422487 37.748013, -122.422457 37.748118, -122.422509 37.748642, -122.422571 37.748773, -122.421284 37.74885, -122.420832 37.748878, -122.420354 37.748907, -122.420279 37.748125))"
2292,4006,6.08E+13,75,0,N,6,25300,"POLYGON ((-122.42013 37.746576, -122.420358 37.746492, -122.421704 37.746412, -122.421406 37.747231, -122.421328 37.747442, -122.421385 37.74803199999999, -122.421289 37.748045, -122.420449 37.74806299999999, -122.420279 37.748125, -122.42013 37.746576))"
2293,4005,6.08E+13,75,95,N,6,25300,"POLYGON ((-122.420019 37.745389, -122.420894 37.744038, -122.421977 37.743979, -122.420358 37.746492, -122.42013 37.746576, -122.420019 37.745389))"
2294,4005,6.08E+13,75,109,N,6,21500,"POLYGON ((-122.428883 37.743565, -122.428806 37.742764, -122.431022 37.742631, -122.4311 37.743431, -122.428883 37.743565))"
2295,1007,6.08E+13,75,57,N,6,21800,"POLYGON ((-122.42984 37.740753, -122.43035 37.7402, -122.430741 37.740424, -122.430888 37.741833, -122.429947 37.74189, -122.42984 37.740753))"
2296,3004,6.08E+13,75,61,N,6,21800,"POLYGON ((-122.428429 37.735857, -122.428994 37.735485, -122.429699 37.735027, -122.430246 37.73556, -122.428977 37.736388, -122.428429 37.735857))"
2297,2009,6.08E+13,75,0,N,6,23103,"POLYGON ((-122.376974 37.733616, -122.377041 37.733158, -122.376992 37.732896, -122.376866 37.732684, -122.376638 37.732496, -122.377649 37.73307, -122.37723 37.733533, -122.376974 37.733616))"
2298,2015,6.08E+13,75,0,N,6,23200,"POLYGON ((-122.380257 37.726991, -122.381691 37.727805, -122.381278 37.727902, -122.381057 37.72790000000001, -122.380031 37.727789, -122.379992 37.727785, -122.379697 37.727618, -122.380257 37.726991))"
2299,2005,6.08E+13,75,41,N,6,25600,"POLYGON ((-122.4189 37.727627, -122.418404 37.726425, -122.419386 37.726169, -122.419883 37.72737, -122.4189 37.727627))"
2300,2006,6.08E+13,75,37,N,6,25600,"POLYGON ((-122.417906 37.727887, -122.41741 37.726685, -122.418404 37.726425, -122.4189 37.727627, -122.417906 37.727887))"
2301,2009,6.08E+13,75,31,N,6,25600,"POLYGON ((-122.414956 37.728658, -122.41446 37.727457, -122.415452 37.727198, -122.415946 37.728399, -122.414956 37.728658))"
2302,1005,6.08E+13,75,38,N,6,25900,"POLYGON ((-122.413469 37.725055, -122.412969 37.723858, -122.413959 37.723599, -122.414453 37.724793, -122.413469 37.725055))"
2303,2046,6.08E+13,75,49,N,6,25701,"POLYGON ((-122.410943 37.73204399999999, -122.410757 37.731479, -122.412843 37.730797, -122.413053 37.731452, -122.410943 37.73204399999999))"
2304,2047,6.08E+13,75,61,N,6,25701,"POLYGON ((-122.41051 37.73093799999999, -122.410572 37.730919, -122.411394 37.730608, -122.412338 37.730249, -122.412632 37.730138, -122.412843 37.730797, -122.410757 37.731479, -122.410586 37.730962, -122.41051 37.73093799999999))"
2305,3012,6.08E+13,75,44,N,6,25701,"POLYGON ((-122.408057 37.730461, -122.40756 37.729261, -122.408549 37.729003, -122.409044 37.730203, -122.408057 37.730461))"
2306,3007,6.08E+13,75,18,N,6,25702,"POLYGON ((-122.407056 37.7254, -122.408042 37.725142, -122.408542 37.726341, -122.407556 37.726599, -122.407056 37.7254))"
2307,1004,6.08E+13,75,89,N,6,26404,"POLYGON ((-122.418204 37.708327, -122.418693 37.708279, -122.419128 37.708236, -122.419182 37.708231, -122.419802 37.708231, -122.420082 37.708231, -122.420083 37.70831099999999, -122.419348 37.709947, -122.418501 37.709709, -122.417657 37.709471, -122.418165 37.708331, -122.418204 37.708327))"
2308,1006,6.08E+13,75,34,N,6,26401,"POLYGON ((-122.41202 37.713809, -122.412505 37.712725, -122.413439 37.712986, -122.41296 37.714063, -122.41202 37.713809))"
2309,2007,6.08E+13,75,57,N,6,26401,"POLYGON ((-122.406767 37.713901, -122.407056 37.713226, -122.409194 37.713798, -122.408896 37.714479, -122.406767 37.713901))"
2310,2001,6.08E+13,75,66,N,6,26404,"POLYGON ((-122.412497 37.710432, -122.412532 37.710384, -122.41258 37.710317, -122.412607 37.710275, -122.412634 37.710228, -122.412658 37.710182, -122.412692 37.710136, -122.412726 37.710086, -122.412744 37.710022, -122.412754 37.709971, -122.412774 37.709912, -122.412792 37.709867, -122.412811 37.70982, -122.412829 37.709771, -122.412853 37.709704, -122.412873 37.70966, -122.412893 37.709601, -122.412903 37.709553, -122.41292 37.709476, -122.413514 37.709642, -122.413162 37.710426, -122.412887 37.711036, -122.412281 37.710866, -122.412334 37.710822, -122.412351 37.710779, -122.412384 37.71071999999999, -122.412396 37.710669, -122.412409 37.710622, -122.412413 37.710576, -122.412426 37.71053, -122.412461 37.71047799999999, -122.412497 37.710432))"
2311,1008,6.08E+13,75,30,N,6,26403,"POLYGON ((-122.406228 37.709168, -122.406558 37.708439, -122.406588 37.708345, -122.406481 37.708323, -122.407182 37.708231, -122.407276 37.708233, -122.40737 37.70823499999999, -122.407354 37.708271, -122.407322 37.708342, -122.406866 37.709347, -122.406228 37.709168))"
2312,1015,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.392386 37.750022, -122.392392 37.750119, -122.392531 37.751487, -122.392578 37.751942, -122.392248 37.75184, -122.39206 37.751758, -122.391999 37.751673, -122.391936 37.751496, -122.391948 37.751202, -122.392029 37.750663, -122.392363 37.750025, -122.392386 37.750022))"
2313,3019,6.08E+13,75,0,N,6,25100,"POLYGON ((-122.405248 37.744446, -122.405445 37.74448599999999, -122.40518 37.744981, -122.405051 37.74537, -122.40491 37.745827, -122.404725 37.746505, -122.404497 37.747208, -122.404439 37.747388, -122.40439 37.747537, -122.404181 37.747514, -122.404508 37.746528, -122.404819 37.745396, -122.405049 37.744885, -122.405232 37.744482, -122.405248 37.744446))"
2314,3009,6.08E+13,75,0,N,6,25100,"POLYGON ((-122.406385 37.748833, -122.406464 37.748814, -122.406681 37.748743, -122.406758 37.748766, -122.406728 37.748819, -122.406499 37.748885, -122.406312 37.748939, -122.405682 37.749044, -122.405501 37.749081, -122.405239 37.749125, -122.405193 37.74904799999999, -122.405627 37.748971, -122.406241 37.748869, -122.406385 37.748833))"
2315,3003,6.08E+13,75,0,N,6,25100,"POLYGON ((-122.404052 37.74859, -122.404104 37.748425, -122.404783 37.749015, -122.404812 37.74911, -122.404753 37.749121, -122.404519 37.74896, -122.404154 37.748697, -122.404052 37.74859))"
2316,1058,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.402062 37.74939699999999, -122.402215 37.749358, -122.402746 37.749375, -122.402866 37.749478, -122.402724 37.749505, -122.40219 37.749427, -122.402062 37.74939699999999))"
2317,1027,6.08E+13,75,0,N,6,61400,"POLYGON ((-122.403089 37.749893, -122.403055 37.749544, -122.403203 37.749534, -122.403089 37.749893))"
2318,1011,6.08E+13,75,0,N,6,25100,"POLYGON ((-122.408706 37.748353, -122.408843 37.748298, -122.409538 37.748286, -122.409646 37.748334, -122.409547 37.748385, -122.408854 37.748397, -122.408706 37.748353))"
2319,3022,6.08E+13,75,19,N,6,25100,"POLYGON ((-122.406034 37.744076, -122.406388 37.74364, -122.406463 37.743682, -122.407265 37.743882, -122.407076 37.744359, -122.407041 37.74435, -122.406105 37.744117, -122.406034 37.744076))"
2320,1044,6.08E+13,75,0,N,6,980900,"POLYGON ((-122.388546 37.746927, -122.38851 37.746907, -122.387997 37.746619, -122.389193 37.745298, -122.391057 37.746362, -122.390711 37.74675, -122.390635 37.746835, -122.390489 37.746792, -122.388546 37.746927))"
