,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
2038,24,1575,0,0,0.625181951,0,0.531278404
2039,24,2181,0,0,0.561210454,0,0.692120438
2040,242,2181,0,0,0.561210454,0,0.703312936
2041,55,1575,0,0,0.625181951,0,0.520390074
2042,553,1862,0,0,0.502222222,200,0.693893011
2043,543,1356,0,0,0.551005212,200,0.562475953
2044,174,1356,0,0,0.551005212,0,0.54270832
2045,87,1862,0,0,0.502222222,0,0.677469941
2046,988,2547,0,0,0.37755102,0,0.51661219
2047,988,1831,0,0,0.448818898,0,0.593593578
2048,513,2181,0,0,0.561210454,200,0.700905158
2049,480,1575,0,0,0.625181951,200,0.534093615
2050,844,1522,1100.5,0,0.468336813,200,0.510648315
2052,6,1049,0,0,0.496510469,0,0.529233562
2053,9,1173,0,0,0.366931919,0,0.531918373
2054,372,222,0,0,0.779411765,0,0.48809057
2055,410,222,0,0,0.779411765,0,0.45474355
2056,44,222,0,0,0.779411765,0,0.45045608
2063,26,2595,0,0,0.354461042,0,0.27094998
2064,26,2595,0,0,0.354461042,0,0.807005495
2065,25,2595,0,0,0.354461042,0,0.819099379
2066,25,2595,0,0,0.354461042,0,0.729981576
2067,19,2595,0,0,0.354461042,0,0.698306406
2068,58,2595,0,0,0.354461042,0,0.845933618
2069,58,2595,0,0,0.354461042,0,0.702345522
2070,18174,1222,656,8939,0.127155172,299,0.560196398
2071,18174,1222,656,8939,0.127155172,299,0.689454995
2072,18174,1222,656,8939,0.127155172,299,0.533622872
2074,22091,1222,656,8939,0.127155172,350,0.835259104
2075,22091,1222,656,8939,0.127155172,350,0.487205387
2076,22091,1222,656,8939,0.127155172,350,0.838952851
2077,22091,1222,656,8939,0.127155172,350,0.631665791
2078,22091,1222,656,8939,0.127155172,350,0.724305556
2079,22091,1222,656,8939,0.127155172,350,0.39229798
2080,22091,1222,656,8939,0.127155172,350,0.862418301
2081,22091,1222,656,8939,0.127155172,350,0.484603175
2082,22091,1222,656,8939,0.127155172,350,0.821825397
2083,22091,1222,656,8939,0.127155172,350,0.554722222
2084,22091,1222,656,8939,0.127155172,350,0.965931373
2085,22091,1222,656,8939,0.127155172,350,0.531642157
2086,699,2444,0,0,0.518923849,0,0.806173633
