,ROUTE_SHORT_NAME,DIR,STOPNAME,STOP_ID
4196,48,1,Quintara St & 44th Ave  ,6165
4109,48,0,Quintara St & 46th Ave  ,6166
4110,48,0,Quintara St & 48th Ave  ,6167
4819,6,0,Quintara St & Cragmont Ave  ,6168
4875,6,1,Quintara St & Cragmont Ave  ,6169
4820,6,0,Quintara St & Funston Ave  ,6170
4876,6,1,Quintara St & Funston Ave  ,6171
1901,26,0,Randall St & Whitney St  ,6177
3075,36,1,Randall St & Whitney St  ,6177
6747,M-OWL,0,Randolph St & Arch St  ,6173
6748,M-OWL,0,Randolph St & Bright St  ,6175
4755,56,1,Raymond Ave & Delta St,7331
4756,56,1,Raymond Ave & Elliot St,7335
4757,56,1,Raymond Ave & Rutland St,7330
4758,56,1,Raymond Ave & Sawyer St ,7332
4609,54,0,Reddy St & Thornton Ave  ,6184
4709,54,1,Reddy St & Williams Ave  ,6185
2999,36,0,Reposa Way & Myra Way   ,6228
3076,36,1,Reposa Way & Myra Way   ,6228
3000,36,0,Reposa Way & Teresita Blvd   ,6229
3077,36,1,Reposa Way & Teresita Blvd   ,6229
4610,54,0,Revere Ave & 3rd St   ,6249
4710,54,1,Revere Ave & 3rd St   ,6248
4611,54,0,Revere Ave & Ingalls St   ,6250
4612,54,0,Revere Ave & Jennings St   ,6252
4711,54,1,Revere Ave & Jennings St   ,6251
4613,54,0,Revere Ave & Lane St   ,6254
4712,54,1,Revere Ave & Lane St   ,6253
1127,19,0,Rhode Island St & 15th St  ,6187
290,10,0,Rhode Island St & 15th St  ,6187
1211,19,1,Rhode Island St & 15th St  ,6188
379,10,1,Rhode Island St & 15th St  ,6188
1212,19,1,Rhode Island St & 16th St  ,6189
380,10,1,Rhode Island St & 16th St  ,6189
291,10,0,Rhode Island St & 16th St  ,6190
1128,19,0,Rhode Island St & 16th St  ,6190
292,10,0,Rhode Island St & 17th St  ,6191
1129,19,0,Rhode Island St & 17th St  ,6191
1130,19,0,Rhode Island St & 18th St  ,6192
1131,19,0,Rhode Island St & 19th St  ,6193
4548,53,1,Rhode Island St & 20th St  ,6194
1132,19,0,Rhode Island St & 20th St  ,6195
1133,19,0,Rhode Island St & 22nd St  ,6196
1134,19,0,Rhode Island St & 23rd St  ,6197
