,ROUTE_SHORT_NAME,DIR,STOPNAME,STOP_ID
3812,44,0,Silver Ave & Alemany Blvd   ,6394
3882,44,1,Silver Ave & Augusta St   ,6395
3813,44,0,Silver Ave & Bay Shore Blvd   ,6397
3883,44,1,Silver Ave & Boylston St   ,6396
3814,44,0,Silver Ave & Cambridge St  ,6399
3884,44,1,Silver Ave & Cambridge St  ,6398
3885,44,1,Silver Ave & Charter Oak Ave   ,6400
3815,44,0,Silver Ave & Congdon St  ,6402
3886,44,1,Silver Ave & Congdon St  ,6401
3816,44,0,Silver Ave & Dartmouth St   ,6404
3887,44,1,Silver Ave & Dartmouth St   ,6405
3817,44,0,Silver Ave & Gambier St  ,6407
3888,44,1,Silver Ave & Gambier St  ,6406
3818,44,0,Silver Ave & Holyoke St   ,6408
3889,44,1,Silver Ave & Lisbon St,7431
3819,44,0,Silver Ave & Lisbon St  ,6410
3890,44,1,Silver Ave & Merrill St   ,6411
3820,44,0,Silver Ave & Merrill St   ,6412
3821,44,0,Silver Ave & Mission St  ,6415
3891,44,1,Silver Ave & Mission St   ,6414
4488,52,1,Silver Ave & Mission St   ,6413
3822,44,0,Silver Ave & Palou Ave   ,6416
3823,44,0,Silver Ave & Princeton St   ,6418
3892,44,1,Silver Ave & Princeton St   ,6417
3893,44,1,Silver Ave & Revere Ave   ,6420
3824,44,0,Silver Ave & Revere Ave   ,6419
3894,44,1,Silver Ave & San Bruno Ave   ,6422
3825,44,0,Silver Ave & San Bruno Ave   ,6421
3895,44,1,Silver Ave & Topeka Ave   ,6424
3826,44,0,Silver Ave&Santa Fe Ave ,7288
1001,18,0,Skyline Blvd & Harding Rd  ,6430
1064,18,1,Skyline Blvd & Harding Rd  ,6431
1065,18,1,Skyline Blvd & Lake Merced Blvd,6432
1066,18,1,Skyline Blvd & Sloat Blvd  ,6433
1002,18,0,Skyline Blvd & Sloat Blvd   ,6434
1067,18,1,Skyline Blvd & Zoo Rd   ,6429
