,ROUTE_SHORT_NAME,DIR,LOG_RIDERS_09,EDD_EMP_LOG_09,STOP_ID,AVG_RIDE_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,ONTIME5.1,TRANSBAY_09,MUNI_RAIL_AVG_09,LOG_RIDERS_16,EDD_EMP_LOG_16,AVG_RIDE_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
0,28,1,5.930218192999999,8.361007107999999,390,375.236597,1.768145192,0.0,4.7467805069999995,0.065312046,5.043425117,0.621834189,0.0,1,0,0,0.621834189,0,826.0,6.477285501122934,4.442651256490317,649.2035717229952,1.7903436400236834,0.0,4.7467805065283475,0.6975736568457539,5.043425116919247,0.7837655756723834,0.0,1,0,0,0.0,2660.1500000000005
1,28R,1,5.261602951,8.361007107999999,390,191.7902771,1.368138422,0.0,4.7467805069999995,0.065312046,5.043425117,0.7993023359999999,0.0,1,1,0,0.7993023359999999,0,826.0,5.6997201496394405,4.442651256490317,297.7837745191317,1.9445237779257205,0.0,4.7467805065283475,0.6975736568457539,5.043425116919247,0.5779163657245848,0.0,0,1,0,0.0,2660.1500000000005
2,29,1,5.520213342999999,8.361007107999999,390,248.68830079999998,1.298247999,0.0,4.7467805069999995,0.065312046,5.043425117,0.596411724,0.0,1,0,0,0.596411724,0,826.0,3.784672302600344,4.442651256490317,43.02124254815558,1.7902903930126168,0.0,4.7467805065283475,0.6975736568457539,5.043425116919247,0.27724926785695786,0.0,1,0,0,0.0,2660.1500000000005
3,91,0,2.746150048,8.361007107999999,390,14.58252428,1.098612289,1.0,4.7467805069999995,0.065312046,5.043425117,0.553667393,0.0,1,0,0,0.553667393,0,826.0,2.8527589408575142,4.442651256490317,16.335543663950418,1.0986122886681098,1.0,4.7467805065283475,0.6975736568457539,5.043425116919247,0.7222352758767325,0.0,1,0,0,0.0,2660.1500000000005
4,52,0,3.120669211,2.197224577,913,21.66153993,1.243778182,1.0,4.731415496,0.055248619000000006,0.0,0.496033324,0.0,1,0,0,0.496033324,0,0.0,2.78104333248486,4.4067192472642525,15.135847222379727,1.211609952771687,1.0,4.731254905606557,0.20802919708029194,0.0,0.5996204361561689,0.0,1,0,0,0.0,0.0
5,52,1,2.612499938,2.197224577,913,12.63309017,1.229531146,1.0,4.731415496,0.055248619000000006,0.0,0.532079293,0.0,1,0,0,0.532079293,0,0.0,2.552064388427796,4.4067192472642525,11.833569928308703,1.2037831358387865,1.0,4.731254905606557,0.20802919708029194,0.0,0.619247902152314,0.0,1,0,0,0.0,0.0
6,10,1,3.498766185,7.490529402000001,3003,32.0746188,1.7365930880000002,0.0,5.924943905,0.572901325,5.726847748,0.74841118,0.0,1,0,0,0.74841118,0,0.0,4.177216752201957,8.191740021277457,64.18417678951826,1.5409779246960935,0.0,6.014713883413815,0.6515257071199666,5.726847747587197,0.5416550482487621,0.0,1,0,0,0.0,0.0
7,10,0,3.484036112,7.582229194,3004,31.590997899999998,1.7456993490000001,0.0,5.8238203539999995,0.572901325,5.5606816310000005,0.657982036,0.0,1,0,0,0.657982036,0,0.0,4.390278158252784,8.377011160816375,79.66285289846934,1.5305376371661783,0.0,5.9303574669118575,0.6515257071199666,5.5606816310155285,0.5786653799860587,0.0,1,0,0,0.0,0.0
8,10,0,3.9297034689999997,8.441607204,3008,49.89188441,1.7463193730000002,0.0,5.831826008999999,0.572901325,5.993961427,0.69498294,0.0,1,0,0,0.69498294,0,0.0,4.378817720495319,8.85152027169106,78.74369831070831,1.5302274062955648,0.0,5.930843060800076,0.6515257071199666,5.9939614273065684,0.6463077735053573,0.0,1,0,0,0.0,0.0
9,12,0,3.389166425,8.441607204,3008,28.64123377,1.3157583179999999,0.0,5.831826008999999,0.572901325,5.993961427,0.675892735,0.0,1,0,0,0.675892735,0,0.0,4.1595774758205755,8.85152027169106,63.044456550858285,1.4975761449869027,0.0,5.930843060800076,0.6515257071199666,5.9939614273065684,0.5592903551958313,0.0,1,0,0,0.0,0.0
10,10,1,3.060128648,7.50714108,3009,20.33030108,1.7365930880000002,0.0,5.849894012999999,0.572901325,5.932245187,0.717504754,0.0,1,0,0,0.717504754,0,0.0,3.997430661004816,8.449342524508063,53.45804893787596,1.5409436003006352,0.0,6.038455116752784,0.6515257071199666,5.932245187448012,0.5171513011396807,0.0,0,0,0,0.0,0.0
11,10,0,3.41013454,6.997595982999999,3010,29.26931642,1.746102302,0.0,5.959019296,0.572901325,5.1474944769999995,0.675273785,0.0,1,0,0,0.675273785,0,0.0,3.9979005181788754,8.476787776781201,53.483642455032694,1.5303381858832732,0.0,5.9910453053434995,0.6515257071199666,5.147494476813453,0.6396379952139237,0.0,1,0,0,0.0,0.0
12,10,0,4.052249809,8.025843344,3011,56.52673576,1.7465468519999998,0.0,6.034490081,0.572901325,5.65248918,0.705020799,0.0,1,0,0,0.705020799,0,0.0,4.707944027473592,8.58615939588096,109.82407426518364,1.530101879125754,0.0,6.042849476241512,0.6515257071199666,5.652489180268652,0.6622708987956781,0.0,1,0,0,0.0,0.0
13,12,0,3.228925062,8.025843344,3011,24.2524975,1.315786039,0.0,6.034490081,0.572901325,5.65248918,0.584983644,0.0,1,0,0,0.584983644,0,0.0,4.041594790742844,8.58615939588096,55.91704123420885,1.4974767650735819,0.0,6.042849476241512,0.6515257071199666,5.652489180268652,0.5935236080363745,0.0,1,0,0,0.0,0.0
14,10,0,4.605814946000001,9.536762272999999,3013,99.06449681,1.747395379,0.0,4.538592653,0.537463977,4.634728988,0.7338821190000001,9.356862025,1,0,0,0.7338821190000001,0,2085.5,5.4425873796136806,9.755161543000133,230.0391968853818,1.5298951818128503,0.0,4.497603126092555,0.6515257071199666,4.634728988229637,0.7009130136277221,9.091950902475961,1,0,0,1.0,9163.449999999997
15,12,0,3.267399553,9.536762272999999,3013,25.24300699,1.315831699,0.0,4.538592653,0.537463977,4.634728988,0.6971361970000001,9.356862025,1,0,0,0.6971361970000001,0,2085.5,4.90755325407691,9.755161543000133,134.3079449004482,1.497311166473137,0.0,4.497603126092555,0.6515257071199666,4.634728988229637,0.6496770083178648,9.091950902475961,1,0,0,1.0,9163.449999999997
16,10,0,3.322392345,7.375882148,3015,26.72660288,1.74548247,0.0,6.208699214,0.572901325,5.765191102999999,0.641151735,0.0,1,0,0,0.641151735,0,1129.0,3.623294361591898,7.4815557019095165,36.46077410301353,1.5306484701249594,0.0,6.3051183503153085,0.6515257071199666,5.7651911027848435,0.5505116794220124,0.0,1,0,0,0.0,2728.0
17,91,0,0.106706451,1.791759469,3016,0.11260760199999999,1.098612289,0.0,3.1794472239999996,0.518923849,4.836281907,0.437697415,0.0,1,0,0,0.437697415,0,107.5,0.6024538843315514,3.218875824868201,0.8265955596432875,1.098567846198879,0.0,6.487449917682681,0.5183562786816853,4.836281906951479,0.7491486738558294,0.0,1,0,0,0.0,496.05000000000007
18,54,0,4.615450248999999,5.204006687,3018,100.03330840000001,1.327499224,0.0,5.201811094,0.24161950399999998,5.303304908,0.607685012,0.0,1,0,0,0.607685012,0,0.0,5.2724192852553085,5.7745515455444085,193.8868795284236,1.3391724796828992,0.0,5.201811094181356,0.2724107919930374,5.303304908059076,0.602680701711083,0.0,1,0,0,0.0,0.0
19,54,1,5.48739782,5.262690189,3019,240.62762949999998,1.344077037,0.0,5.223758169,0.24161950399999998,5.303304908,0.5968381660000001,0.0,1,0,0,0.5968381660000001,0,0.0,5.787247550039866,5.808142489980444,325.11417497653304,1.3539335338893397,0.0,5.223758168891641,0.2724107919930374,5.303304908059076,0.5766971055622554,0.0,1,0,0,0.0,0.0
