,ROUTE_SHORT_NAME,DIR,LOG_RIDERS,EDD_EMP_LOG,STOP_ID,AVG_RIDE,FREQ_S_LOG,EOL_SOL,HOUSING_09_DEN_LOG,SHR_INCOME_100P,PARK_HOURLY_AVG_ON_LOG,ONTIME5,AVG_BART_LOG,CLOSE_STOP,LIMITED,EXPRESS,ONTIME5.1,TRANSBAY,MUNI_RAIL_AVG
2799,36,1,2.416021962,4.828313737,4881,10.20121172,1.233269174,0,5.083093038,0.318926297,0,0.570185749,0,1,0,0,0.570185749,0,198.5
2800,43,1,4.423650205,4.828313737,4881,82.4001581,1.762558583,0,5.083093038,0.318926297,0,0.73621244,0,1,0,0,0.73621244,0,198.5
2803,91,0,0.600094021,4.828313737,4881,0.822290125,1.098612289,0,5.083093038,0.318926297,0,0.394691358,0,1,0,0,0.394691358,0,198.5
2804,9AX,0,2.867206883,4.828313737,4881,16.58782468,2.077172924,0,5.083093038,0.318926297,0,0.40414673,0,1,0,1,0.40414673,0,198.5
2805,9BX,0,2.513961267,4.828313737,4881,11.35376984,2.015420154,0,5.083093038,0.318926297,0,0.513972431,0,1,0,1,0.513972431,0,198.5
2806,9X,0,4.931190982,4.828313737,4881,137.5444181,1.864647637,0,5.083093038,0.318926297,0,0.559028857,0,1,0,0,0.559028857,0,198.5
2807,29,0,3.646387579,4.828313737,4882,37.33593009,1.770982718,0,5.193582656,0.318926297,0,0.504561654,0,1,0,0,0.504561654,0,198.5
2808,43,0,3.718108455,4.828313737,4882,40.18641444,1.743419741,0,5.193582656,0.318926297,0,0.599978881,0,1,0,0,0.599978881,0,198.5
2811,91,1,0.168749479,4.828313737,4882,0.183823529,1.098612289,0,5.193582656,0.318926297,0,0.585029567,0,1,0,0,0.585029567,0,198.5
2812,9AX,1,1.629717006,4.828313737,4882,4.102430556,1.970807701,0,5.193582656,0.318926297,0,0.783217593,0,1,0,1,0.783217593,0,198.5
2813,9BX,1,1.396210207,4.828313737,4882,3.039860681,1.990034954,0,5.193582656,0.318926297,0,0.753457172,0,1,0,1,0.753457172,0,198.5
2814,9X,1,3.853236584,4.828313737,4882,46.14540664,1.782326002,0,5.193582656,0.318926297,0,0.693364001,0,1,0,0,0.693364001,0,198.5
2815,43,0,3.617946397,4.025351691,4883,36.26096998,1.744142771,0,5.633400764,0.245283019,0,0.583405378,0,1,0,0,0.583405378,0,0
2816,54,1,2.865804507,4.025351691,4883,16.56317722,1.330937147,0,5.633400764,0.245283019,0,0.591355243,0,1,0,0,0.591355243,0,0
2819,91,1,1.251368105,4.025351691,4883,2.495121382,1.098612289,0,5.633400764,0.245283019,0,0.477767403,0,1,0,0,0.477767403,0,0
2820,9AX,1,2.341434555,4.025351691,4883,9.396139706,1.968596019,0,5.633400764,0.245283019,0,0.803952206,0,1,0,1,0.803952206,0,0
2821,9BX,1,2.203191753,4.025351691,4883,8.053865132,1.987766479,0,5.633400764,0.245283019,0,0.822615132,0,1,0,1,0.822615132,0,0
2822,9X,1,4.388497801,4.025351691,4883,79.51937196,1.784237715,0,5.633400764,0.245283019,0,0.805374817,0,1,0,0,0.805374817,0,0
2823,43,1,4.632130567,3.891820298,4884,101.73271,1.761441708,0,5.639173087,0.245283019,0,0.73689119,0,1,0,0,0.73689119,0,0
2824,54,0,2.905588315,3.891820298,4884,17.27599252,1.331188352,0,5.639173087,0.245283019,0,0.571894572,0,1,0,0,0.571894572,0,0
2827,91,0,1.018638481,3.891820298,4884,1.769421576,1.098612289,0,5.639173087,0.245283019,0,0.396892831,0,1,0,0,0.396892831,0,0
2828,9AX,0,1.938141959,3.891820298,4884,5.945833333,2.072526123,0,5.639173087,0.245283019,0,0.358544087,0,1,0,1,0.358544087,0,0
2829,9BX,0,2.309938939,3.891820298,4884,9.073809524,2.011130182,0,5.639173087,0.245283019,0,0.461048454,0,1,0,1,0.461048454,0,0
2830,9X,0,4.268422487,3.891820298,4884,70.40889822,1.86405079,0,5.639173087,0.245283019,0,0.581695801,0,1,0,0,0.581695801,0,0
2831,29,1,5.613136857,5.272999559,4885,273.0023977,1.323144237,0,5.631732184,0.299872123,5.303304908,0.697788568,0,0,0,0,0.697788568,0,0
2832,88,1,3.478316984,5.272999559,4885,31.40513778,1.884246782,0,5.631732184,0.299872123,5.303304908,0.765013228,0,1,0,0,0.765013228,0,0
2833,43,1,6.19389817,5.272999559,4886,488.7515246,1.761545691,0,5.655795974,0.245283019,5.252273428,0.805810943,0,1,0,0,0.805810943,0,0
2834,54,0,5.556421328,5.272999559,4886,257.8946775,1.331283253,0,5.655795974,0.245283019,5.252273428,0.602740135,0,1,0,0,0.602740135,0,0
2837,91,0,3.164540201,5.272999559,4886,22.67785449,1.098612289,0,5.655795974,0.245283019,5.252273428,0.455677456,0,1,0,0,0.455677456,0,0
2838,9AX,0,4.450212994,5.272999559,4886,84.64518398,2.073325315,0,5.655795974,0.245283019,5.252273428,0.459022556,0,1,0,1,0.459022556,0,0
2839,9BX,0,4.572798662,5.272999559,4886,95.81468254,2.011868117,0,5.655795974,0.245283019,5.252273428,0.537573099,0,1,0,1,0.537573099,0,0
2840,9X,0,6.660475974,5.272999559,4886,779.9225474,1.864060203,0,5.655795974,0.245283019,5.252273428,0.618506943,0,1,0,0,0.618506943,0,0
2841,43,0,6.289817051,5.327876169,4887,538.0547005,1.743962826,0,5.671539169,0.299872123,5.303304908,0.620106274,0,1,0,0,0.620106274,0,0
2842,54,1,5.623267569,5.327876169,4887,275.7923453,1.330937147,0,5.671539169,0.299872123,5.303304908,0.650451993,0,1,0,0,0.650451993,0,0
2843,88,0,3.939976308,5.327876169,4887,50.41738311,1.714108535,0,5.671539169,0.299872123,5.303304908,0.57787883,0,1,0,0,0.57787883,0,0
2846,91,1,3.20179093,5.327876169,4887,23.5765056,1.098612289,0,5.671539169,0.299872123,5.303304908,0.543803818,0,1,0,0,0.543803818,0,0
2847,9AX,1,4.057371933,5.327876169,4887,56.82215074,1.970807701,0,5.671539169,0.299872123,5.303304908,0.852818627,0,1,0,1,0.852818627,0,0
2848,9BX,1,3.952085501,5.327876169,4887,51.04379112,1.990034954,0,5.671539169,0.299872123,5.303304908,0.805071272,0,1,0,1,0.805071272,0,0
2849,9X,1,6.892602563,5.327876169,4887,983.9615092,1.784237715,0,5.671539169,0.299872123,5.303304908,0.818053486,0,1,0,0,0.818053486,0,0
2852,91,1,1.294343379,2.397895273,4888,2.64859944,1.098612289,0,5.1212875,0.271121352,0,0.47651468,0,1,0,0,0.47651468,0,0
2853,9AX,1,3.475752776,2.397895273,4888,31.32215074,1.965887652,0,5.1212875,0.271121352,0,0.794148284,0,1,0,1,0.794148284,0,0
2854,9BX,1,3.367699843,2.397895273,4888,28.01171875,1.985182211,0,5.1212875,0.271121352,0,0.850164474,0,1,0,1,0.850164474,0,0
2855,9X,1,5.483761625,2.397895273,4888,239.7506197,1.784237715,0,5.1212875,0.271121352,0,0.779548709,0,1,0,0,0.779548709,0,0
2856,54,0,3.231350883,2.833213344,4889,24.31382991,1.331061841,0,5.317281947,0.245283019,0,0.557982244,0,1,0,0,0.557982244,0,0
2859,91,0,0.552762292,2.833213344,4889,0.738047387,1.098612289,0,5.317281947,0.245283019,0,0.390356883,0,1,0,0,0.390356883,0,0
2860,9AX,0,2.425941792,2.833213344,4889,10.31287879,2.071461811,0,5.317281947,0.245283019,0,0.327660059,0,1,0,1,0.327660059,0,0
2861,9BX,0,2.375533096,2.833213344,4889,9.756746032,2.010147377,0,5.317281947,0.245283019,0,0.436716792,0,1,0,1,0.436716792,0,0
2862,9X,0,4.313558723,2.833213344,4889,73.70587396,1.86403631,0,5.317281947,0.245283019,0,0.573856405,0,1,0,0,0.573856405,0,0
2863,54,0,3.940940369,3.63758616,4890,50.46697651,1.331125093,0,5.578966552,0.245283019,0,0.559983261,0,1,0,0,0.559983261,0,0
2866,91,0,1.765143801,3.63758616,4890,4.842412442,1.098612289,0,5.578966552,0.245283019,0,0.38708891,0,1,0,0,0.38708891,0,0
2867,9AX,0,3.282598266,3.63758616,4890,25.64491342,2.071993785,0,5.578966552,0.245283019,0,0.316894509,0,1,0,1,0.316894509,0,0
2868,9BX,0,3.274220425,3.63758616,4890,25.42261905,2.010638622,0,5.578966552,0.245283019,0,0.451629073,0,1,0,1,0.451629073,0,0
2869,9X,0,5.214462264,3.63758616,4890,182.9128979,1.86404355,0,5.578966552,0.245283019,0,0.584988894,0,1,0,0,0.584988894,0,0
2872,91,1,1.290648282,3.688879454,4891,2.63514239,1.098612289,0,5.596496664,0.271121352,0,0.457161013,0,1,0,0,0.457161013,0,0
