,MONTH,DOW,AGENCY_ID,ROUTE_SHORT_NAME,DIR,SEQ,NUMDAYS,OBSDAYS,TRIP_STOPS,OBS_TRIP_STOPS,WGT_TRIP_STOPS,STOP_ID,ROUTE_LONG_NAME,ROUTE_TYPE,TRIP_HEADSIGN,HEADWAY_S,FARE,STOPNAME,STOPNAME_AVL,STOP_LAT,STOP_LON,EOL,SOL,TIMEPOINT,ARRIVAL_TIME_DEV,DEPARTURE_TIME_DEV,DWELL_S,DWELL,RUNTIME_S,RUNTIME,TOTTIME_S,TOTTIME,SERVMILES_S,SERVMILES,RUNSPEED_S,RUNSPEED,TOTSPEED_S,TOTSPEED,ONTIME5,ON,OFF,LOAD_ARR,LOAD_DEP,PASSMILES,PASSHOURS,WAITHOURS,FULLFARE_REV,PASSDELAY_DEP,PASSDELAY_ARR,RDBRDNGS,DOORCYCLES,WHEELCHAIR,BIKERACK,CAPACITY,VC,CROWDED,CROWDHOURS
4359,2009-06-01,1,SFMTA,54,0,71,12,11,54,11,54.0,6485,FELTON,3,Daly City BART,21.90566037735849,2.0,St Charles Ave & Belle Ave  ,ST CHARLES AVE&BELLE AVE,37.70874,-122.46932,0,0,0.0,4.544581182285211,4.566899321196636,0.0,1.202432465643835,16.200000000000017,21.125239680680643,16.200000000000017,22.32767214632448,5.723999999999997,5.724000000000002,21.2,16.26,21.2,15.38,0.4537008277089566,0.5318181818181819,12.542367914358744,423.79402528636996,411.7834755538295,44.92216668035522,3.1255644944102126,0.08863636363636364,1.0636363636363637,6.995045454545456,6.8960454545454555,0.0,12.496778622227948,0.0,0.555746140651801,778.9090909090909,0.12457202389370076,0.0,0.0
4360,2009-06-01,1,SFMTA,54,0,72,12,11,54,11,54.0,4341,FELTON,3,Daly City BART,21.90566037735849,2.0,Daly City Bart Station,DALY CITY BART STATION W - EOL,37.705764,-122.469273,1,0,1.0,4.226949356821934,13.304575863304661,0.0,0.0,65.87999999999998,44.34989686516035,65.87999999999998,44.34989686516035,14.255999999999991,14.256,12.98,19.29,12.98,19.29,0.567647701925053,0.0,395.7602099723679,411.7834755538295,16.02326558146157,108.71083754621098,4.577695604409263,0.0,0.0,0.0,0.0,0.41680960548885077,201.53627152920168,0.0,0.0,778.9090909090909,0.12104158599465885,0.0,0.0
4431,2009-06-01,1,SFMTA,54,1,71,12,11,61,12,57.66027896052769,3141,FELTON,3,Bayview District,20.349999999999998,2.0,3rd St & Palou Ave   ,3RD ST&PALOU AVE E-FS/BZ,37.734091,-122.390928,0,1,1.0,4.058298953640233,4.4979850059818185,0.0,25.511774379209065,42.120000000000054,39.803696424708335,42.120000000000054,65.3154708039174,6.912000000000005,6.975694165990912,9.85,10.52,9.85,6.41,0.5109268933888989,245.58848138240572,91.35962606075942,422.16387157467665,576.3927268963228,54.03697556155861,10.918212262815025,40.63520766848058,491.17696276481144,1739.7140661721844,1568.5767500235233,0.0,86.55273362871536,0.0,0.0,830.4545454545455,0.1168073863198781,0.0,0.0
4432,2009-06-01,1,SFMTA,54,1,72,12,11,61,11,57.66027896052769,3134,FELTON,3,Bayview District,20.35149999999999,2.0,3rd St & La Salle Ave   ,3RD ST&LA SALLE AVE NE-FS,37.737213,-122.389803,0,0,0.0,4.336240239556108,4.4545735394151835,0.0,6.857731372556879,57.37000000000004,61.47055097212449,57.37000000000004,68.32828234468138,13.314000000000007,12.757769072722017,13.92,12.45,13.92,11.2,0.444734078731871,63.18416481392375,42.31753301052871,573.8576847238495,594.7243165272446,128.52927892116233,12.839846850999542,10.578161652499332,126.3683296278475,421.6612583990636,405.112217902388,0.0,53.11917952126124,0.0,0.2932038884782787,813.2727272727273,0.15851766144711263,0.0,0.0
4433,2009-06-01,1,SFMTA,54,1,73,12,11,61,12,57.66027896052769,3127,FELTON,3,Bayview District,20.353666666666665,2.0,3rd St & Hudson Ave   ,3RD ST&HUDSON AVE S-NS/BZ,37.74012,-122.3887,0,0,0.0,4.473925755495852,4.711653388464925,0.0,13.656659975871861,54.25999999999999,53.94744693095537,54.25999999999999,67.60410690682723,194.2850000000001,183.6479884892807,214.84,204.25,214.84,162.99,0.4523640963521638,102.53395807728944,39.84047256788216,598.8169168196087,661.5104023290158,1907.2318800704538,12.955845938776344,16.98992189541827,205.06791615457888,754.8214310097951,707.9118623066593,0.0,67.9063883718269,0.0,0.3439899664198729,824.7272727272727,0.16530357766695777,0.0,0.0
4434,2009-06-01,1,SFMTA,54,1,74,12,11,61,11,57.66027896052769,5049,FELTON,3,Bayview District,20.35533333333333,2.0,Hudson Ave & Mendell St   ,HUDSON AVE&MENDELL ST W-N,37.739,-122.38654,0,0,0.0,4.824869424214706,4.850656100152737,0.0,1.4799095964184672,48.04999999999996,43.3867822345943,48.04999999999996,44.866691831012766,-8.600999999999999,-8.130099333434403,-10.74,-11.24,-10.74,-10.87,0.4454367457354461,3.939746511966848,15.472120990557602,661.2729790714623,649.7406045928716,-93.23949004907618,9.337806394960918,0.6721061034924196,7.879493023933696,18.534966989920477,18.28028335366474,0.0,15.707194207222448,0.0,0.0,819.0,0.1824337059827969,0.0,0.0
4435,2009-06-01,1,SFMTA,54,1,75,12,11,61,11,57.66027896052769,5047,FELTON,3,Bayview District,20.35683333333333,2.0,Hudson Ave & Keith St   ,HUDSON AVE&KEITH ST W-NS,37.73759,-122.38416,0,0,0.0,4.45173504716025,4.483555180491021,0.0,1.8360047056031041,42.220000000000006,29.74376599662044,42.220000000000006,31.57977070222354,-10.00399999999999,-9.456285749526543,-14.22,-19.08,-14.22,-17.97,0.4460116477414987,2.8031541122533508,22.051358088645635,645.2200069645286,625.9718029881361,-105.8160811421827,6.343732048211606,0.46719235204222503,5.6063082245067015,62.374782873765646,61.86948383240894,0.0,20.67074973419271,0.0,0.4848484848484848,813.2727272727273,0.1780115154685264,0.0,0.0
4436,2009-06-01,1,SFMTA,54,1,76,12,11,61,11,57.66027896052769,5043,FELTON,3,Bayview District,20.358,2.0,Hudson Ave & Cashmere St   ,HUDSON AVE&CASHMERE ST N-,37.73596,-122.38353,0,0,0.0,4.464259786604692,4.585438566708522,0.0,6.99457375652344,31.030000000000026,23.025872848303372,31.030000000000026,30.020446604826816,-140.78799999999976,-133.0799238408979,-272.23,-346.77,-272.23,-265.98,0.45599936581005446,5.956232856064918,98.01161439761883,628.1622825932691,536.1069010517151,-1449.7985482252652,5.990338625782241,0.8297529227340135,11.912465712129835,56.325969411726334,54.544884538918545,0.0,57.86204150709793,0.0,0.0,819.0,0.1732767479830411,0.0,0.0
4437,2009-06-01,1,SFMTA,54,1,77,12,11,61,11,57.66027896052769,5042,FELTON,3,Bayview District,20.359,2.0,Hudson Ave & Ardath Ct  ,HUDSON AVE&ARDATH CT NW-N,37.73469,-122.38305,0,0,0.0,4.771055796686024,4.792899206472152,0.0,1.2655589877576547,23.28999999999998,25.22338453126855,23.28999999999998,26.48894351902621,5.551000000000008,5.247085385408021,14.3,12.48,14.3,11.89,0.4568663866188617,0.5166012200499268,17.77935407395494,539.5925336450932,522.3297807911883,49.102920561703485,4.495097209409614,0.08403028416744084,1.0332024400998536,4.181393277735835,4.124087921619352,0.0,14.430207430307622,0.0,0.0,819.0,0.14884547812335241,0.0,0.0
4438,2009-06-01,1,SFMTA,54,1,78,12,11,61,12,57.66027896052769,5051,FELTON,3,Bayview District,20.359666666666666,2.0,Hudson Ave & Whitney Young Cir,HUDSON AVE&WHITNEY YOUNG,37.733355,-122.38212,0,0,0.0,4.6641359874167385,4.687499583467649,0.0,1.3759579051661277,26.919999999999977,22.159873682196597,26.919999999999977,23.535831587362726,6.405000000000011,6.054329290855407,14.28,16.39,14.28,15.43,0.4557950743852884,1.6952091228751947,13.73901587239639,519.3092603003535,507.2654535508323,54.52747233153712,3.701091292810098,0.2825348538125324,3.3904182457503893,30.189771941549886,29.468783647117263,0.0,12.963235384465442,0.0,0.0,824.7272727272727,0.14326233110361627,0.0,0.0
